,0,1,2,3,4
618,176.8,56.0,26.7,7.32,2.64
761,138.4,49.14,21.2,5.92,2.02
544,125.6,45.22,19.5,6.32,1.92
948,107.0,55.16,28.3,7.72,3.22
866,102.0,55.3,28.1,8.0,3.84
68,98.6,33.18,14.9,3.52,1.34
457,95.8,33.18,15.4,4.0,1.98
652,81.4,49.14,24.0,8.56,3.04
556,73.0,19.74,6.5,1.48,0.9
351,72.8,27.72,17.1,4.36,2.5
234,71.2,29.82,15.4,4.76,1.9
50,68.2,32.62,19.6,6.72,2.94
1046,66.4,37.66,25.0,7.4,3.64
366,65.2,21.56,10.4,2.28,1.02
838,64.2,28.7,19.2,6.68,2.78
541,63.6,23.24,12.2,3.44,1.32
711,61.8,30.24,15.0,4.72,1.54
935,58.8,8.96,3.4,1.04,0.42
632,57.8,21.7,12.9,3.92,2.06
1057,55.8,53.48,35.6,11.28,3.88
29,55.8,23.1,13.7,4.32,1.72
69,53.0,60.06,32.6,9.52,4.0
871,51.6,16.24,8.7,2.2,1.36
795,51.4,54.46,31.6,10.56,3.78
667,50.2,15.26,11.0,4.52,1.66
986,49.4,14.7,5.3,1.64,0.66
55,48.6,30.52,21.2,6.64,2.74
251,48.2,25.34,16.0,6.2,2.8
794,48.0,17.64,9.1,3.2,1.12
807,47.0,16.1,9.0,3.28,1.24
48,47.0,34.44,30.0,9.16,4.18
60,46.8,46.06,33.0,9.96,5.08
956,46.6,38.64,21.3,8.56,3.92
906,46.2,34.44,24.1,9.36,4.4
344,44.8,21.84,12.9,4.32,2.54
32,44.6,15.96,8.8,2.6,1.02
199,43.8,27.16,13.9,4.04,1.3
1080,43.8,23.1,13.6,5.08,2.58
689,43.8,13.16,7.1,2.56,1.42
678,43.6,18.76,17.2,5.76,2.28
130,43.6,17.92,9.6,3.24,1.54
595,43.2,18.9,10.8,4.64,1.74
343,43.2,33.46,26.7,9.76,4.4
1014,41.2,21.98,10.0,3.52,1.68
444,41.0,26.6,11.4,3.2,1.34
456,40.2,21.56,12.2,3.48,1.84
1061,40.2,21.56,12.2,4.92,2.16
100,40.2,23.52,12.2,5.2,2.32
415,39.6,21.7,14.6,5.88,2.32
833,39.2,11.48,7.3,2.12,0.8
605,39.2,23.8,13.3,3.28,1.2
480,39.2,29.26,18.2,5.56,2.0
270,39.0,21.56,13.2,3.36,1.88
340,38.6,28.7,19.0,5.64,3.14
19,38.4,22.26,11.8,4.08,1.62
898,38.0,21.0,13.8,3.76,1.34
528,38.0,20.72,13.5,5.4,2.22
631,37.8,29.54,19.7,6.2,3.32
1024,37.6,18.9,8.2,3.12,1.28
391,37.2,29.54,17.1,6.96,2.96
812,37.0,22.68,10.8,5.28,2.16
437,36.6,5.32,2.4,0.44,0.16
861,36.0,15.68,11.4,3.28,1.2
80,36.0,21.7,11.1,4.24,1.86
160,35.8,16.1,11.6,3.76,1.54
873,35.8,26.46,17.9,7.6,2.94
620,35.6,24.22,14.6,6.44,3.18
811,35.6,15.68,11.4,3.68,1.64
645,35.4,17.08,10.5,4.28,2.1
76,35.2,16.1,9.5,4.0,1.9
398,35.0,11.2,5.6,2.08,1.12
855,35.0,17.5,8.0,2.92,0.88
150,35.0,27.72,12.9,4.04,1.54
555,34.8,19.32,12.6,5.52,2.0
922,34.4,11.62,5.3,1.08,0.72
291,34.2,25.34,16.1,6.04,3.06
118,34.2,15.96,8.0,2.68,1.16
420,34.0,17.78,11.7,4.52,2.66
378,33.6,23.24,13.5,5.44,2.16
65,33.6,10.78,7.0,2.6,1.04
1022,33.2,26.74,13.5,6.16,2.92
626,33.0,12.46,7.2,1.92,1.1
988,32.8,14.0,7.7,2.76,1.46
830,32.6,12.46,8.6,3.2,1.22
113,32.4,17.92,14.7,6.12,2.42
989,32.4,23.38,12.7,4.56,2.46
727,32.2,51.24,36.4,12.12,4.76
186,32.2,50.4,38.4,13.04,4.58
562,32.0,17.36,11.7,4.96,1.72
396,32.0,12.04,9.7,3.84,1.44
694,31.6,20.44,10.3,4.52,1.74
110,31.4,25.06,14.8,5.32,2.6
306,31.4,20.58,13.4,5.24,2.44
867,31.4,9.1,3.4,0.6,0.4
148,30.6,25.9,15.9,6.16,2.28
449,30.6,21.0,14.8,5.96,2.38
593,30.6,20.58,14.9,5.72,2.54
39,30.6,15.4,5.8,2.52,1.06
525,30.4,16.8,9.2,3.6,1.56
182,30.4,22.68,16.4,6.44,3.1
1003,30.4,18.48,11.7,4.96,1.88
96,30.2,26.46,11.3,4.32,1.04
484,30.2,18.48,12.2,3.68,1.92
227,30.0,19.32,10.8,4.32,1.8
778,30.0,8.96,5.9,1.88,0.92
201,29.6,15.96,15.6,6.56,2.64
532,29.4,23.24,16.9,5.88,2.9
1042,29.4,15.96,8.9,4.12,1.96
827,29.4,15.12,12.0,4.96,1.94
527,29.2,21.42,11.4,5.0,1.82
367,29.2,18.62,11.8,5.08,1.82
289,29.2,21.28,14.6,5.16,2.6
608,29.2,11.48,6.2,1.56,0.76
793,29.0,21.28,12.6,5.12,2.66
616,29.0,20.72,10.7,4.0,2.28
862,29.0,15.26,9.5,2.68,1.3
423,29.0,18.34,16.3,6.52,2.68
681,28.8,28.84,19.7,7.16,3.46
878,28.6,14.98,11.1,3.88,1.92
776,28.6,7.98,2.4,0.8,0.22
1,28.2,15.26,11.0,3.68,1.46
575,28.2,23.1,15.9,5.6,3.16
770,28.0,13.58,7.9,2.56,1.42
260,28.0,26.74,14.6,5.96,2.96
35,27.6,10.78,7.3,2.12,0.88
921,27.6,26.74,18.3,5.52,2.58
644,27.2,13.86,8.4,2.68,1.16
257,27.2,17.78,10.5,4.0,1.62
1074,27.0,26.32,17.9,5.72,2.98
481,26.6,14.7,9.2,4.04,1.94
369,26.6,16.24,11.1,4.4,1.6
1048,26.4,18.2,14.8,5.44,2.5
363,26.4,12.46,6.4,2.68,0.94
966,26.2,17.64,12.0,5.52,2.96
138,26.0,27.72,15.9,4.76,1.8
974,26.0,21.98,15.9,4.88,2.56
734,25.8,19.6,13.0,4.84,2.44
822,25.6,20.58,16.3,6.04,2.62
413,25.6,8.12,3.9,1.36,0.22
892,25.4,9.1,2.8,0.36,0.12
119,25.4,12.32,9.2,3.64,1.8
479,24.8,9.38,6.6,1.84,0.98
1050,24.8,5.74,2.9,1.0,0.44
388,24.4,21.84,13.4,5.16,2.58
246,24.4,15.54,14.0,5.0,2.38
769,24.2,13.72,8.6,2.16,1.26
229,24.0,14.98,10.5,3.68,1.64
1009,24.0,14.84,14.6,5.76,3.04
249,23.8,7.98,4.0,1.04,0.54
277,23.8,19.6,13.4,5.48,2.58
228,23.6,24.64,16.7,6.88,2.74
643,23.4,13.02,8.1,3.2,1.82
