,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
680,576.0,54.46,18.1,5.16,1.44,655.1600000000002
468,158.0,97.44,70.9,23.12,11.04,360.50000000000006
552,210.8,73.92,38.5,12.8,5.46,341.48
151,209.4,56.0,33.8,11.44,4.72,315.36
416,107.0,86.24,71.0,26.36,13.1,303.7000000000001
230,102.2,93.66,68.5,26.2,12.22,302.7800000000001
238,103.4,100.24,65.1,22.72,9.92,301.38000000000005
84,111.0,93.1,63.4,22.76,10.86,301.12
663,135.4,78.26,51.2,16.88,8.02,289.76
121,124.4,91.14,49.0,14.76,7.78,287.08
166,122.2,88.34,49.5,18.28,7.36,285.68000000000006
478,86.8,82.18,63.7,27.96,13.92,274.56
759,151.0,67.62,34.5,13.88,5.66,272.66
299,124.2,77.14,39.2,13.8,6.6,260.94000000000005
693,121.6,68.18,40.4,14.28,6.66,251.12
97,83.6,75.04,54.6,21.0,9.78,244.02
35,118.0,71.54,35.0,8.52,4.54,237.6
628,108.0,59.22,42.4,14.52,6.64,230.78
225,82.8,81.9,42.5,16.0,7.04,230.24
623,104.0,47.88,53.0,13.84,5.38,224.1
183,66.4,77.98,53.1,17.8,8.5,223.78
23,111.2,64.4,26.1,6.48,3.76,211.94
163,120.4,50.12,26.5,8.2,3.66,208.88
111,104.8,53.06,31.2,11.6,5.7,206.36
113,76.8,88.76,28.9,8.04,2.94,205.44
394,86.8,59.5,37.0,11.56,6.2,201.06
460,78.0,60.34,39.5,14.96,7.06,199.86
547,98.8,50.4,32.9,11.56,5.0,198.66
152,71.2,57.12,45.1,15.6,7.98,197.0
307,98.6,48.44,27.6,9.56,4.04,188.24
454,83.0,52.92,31.1,11.52,5.5,184.04
107,63.0,49.42,43.6,17.52,7.68,181.22000000000003
20,92.0,50.96,21.0,6.52,2.54,173.02
687,89.0,43.96,25.3,9.36,4.32,171.94
150,80.0,42.98,30.3,12.92,5.5,171.7
616,58.0,52.78,38.6,14.56,6.66,170.6
655,63.6,51.38,32.2,13.96,6.98,168.12
109,59.6,49.56,34.5,13.96,6.76,164.38
440,87.4,39.48,22.7,7.56,4.36,161.5
682,61.0,45.64,34.9,12.08,6.04,159.66
34,90.4,37.66,19.6,6.64,2.8,157.1
190,53.2,49.42,33.1,13.48,6.34,155.54
100,63.2,53.62,24.1,8.2,3.48,152.59999999999997
335,47.8,49.84,33.7,12.56,7.04,150.94
511,66.8,39.9,27.4,10.16,4.82,149.07999999999996
240,54.6,40.88,30.2,11.68,5.2,142.56
760,44.2,42.14,31.8,12.32,6.16,136.62
500,70.8,34.02,19.4,7.36,2.76,134.34
89,41.6,42.42,30.3,12.92,6.26,133.5
31,41.4,39.2,30.5,14.44,6.92,132.45999999999998
104,57.6,38.5,24.3,8.24,3.74,132.38
327,83.8,23.52,12.4,3.72,1.94,125.38
585,54.6,34.44,22.5,8.68,4.3,124.52
377,64.8,30.38,18.8,6.4,3.14,123.52
667,20.8,35.14,37.4,17.8,9.86,121.0
217,46.0,33.74,25.0,10.8,4.44,119.98
43,38.2,32.76,28.9,12.92,6.74,119.52
349,60.2,30.66,17.4,5.84,2.9,117.0
746,49.2,32.76,20.9,9.72,4.04,116.62000000000002
131,33.0,32.48,30.5,13.48,7.06,116.52
727,41.6,36.4,25.1,7.96,4.34,115.4
665,53.4,34.02,17.9,6.2,3.76,115.28
189,47.6,32.76,20.3,8.52,4.28,113.46
445,42.8,37.52,21.8,7.64,3.64,113.4
466,17.8,31.5,36.2,17.48,10.1,113.08
653,0.2,64.4,36.3,8.4,3.26,112.56000000000002
40,40.8,29.26,26.6,10.16,5.72,112.54
487,36.8,35.42,25.1,10.0,4.36,111.68
101,24.0,32.62,33.2,14.2,7.36,111.38
433,37.2,33.04,24.0,10.16,5.96,110.36
146,55.8,29.4,16.2,5.84,2.34,109.58
385,34.8,31.78,25.7,9.8,4.76,106.84
139,24.4,32.9,29.8,11.92,6.42,105.44
704,27.0,30.8,27.0,13.72,6.84,105.36
274,73.6,18.06,9.4,3.08,1.06,105.2
210,32.6,29.4,24.4,11.2,5.16,102.76
110,19.8,31.5,30.0,12.36,7.22,100.88
499,33.4,30.24,21.5,10.2,4.84,100.18
153,50.2,26.6,14.7,5.24,2.66,99.4
244,37.4,29.4,19.9,6.76,3.82,97.28
675,64.8,18.48,8.6,3.0,1.24,96.12
572,46.2,24.78,16.3,6.04,2.58,95.9
421,30.2,29.12,22.6,9.6,4.38,95.9
535,19.6,28.7,28.1,12.24,6.72,95.36
772,21.8,28.0,26.7,11.28,6.66,94.44
345,48.2,24.5,13.3,5.2,2.12,93.32
263,32.0,27.58,20.3,8.6,4.34,92.82
465,25.0,28.84,22.8,10.44,4.54,91.62
580,41.0,24.64,16.9,6.0,2.88,91.42
560,23.0,25.2,24.3,11.52,7.24,91.26
194,39.0,22.68,19.8,6.4,2.48,90.36
479,32.4,25.62,19.9,7.08,3.7,88.69999999999997
159,26.8,27.58,20.0,9.88,4.3,88.55999999999997
82,54.2,19.04,10.5,3.0,1.58,88.32000000000002
94,57.2,15.4,10.0,3.44,1.24,87.28
195,53.2,19.32,10.1,2.96,1.38,86.96
670,27.8,26.18,19.6,9.04,4.3,86.92
459,42.2,22.26,15.2,4.84,2.1,86.60000000000002
689,29.6,26.18,19.9,7.12,3.52,86.32000000000002
367,18.6,24.22,24.5,10.88,6.3,84.49999999999999
148,16.6,22.4,25.4,12.52,6.98,83.9
758,32.0,23.66,18.2,6.6,3.2,83.66
643,33.8,24.5,15.4,6.52,2.7,82.92
