,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
146,172.4,57.47,29.3,8.22,3.39,270.78000000000003
417,146.5,54.11,31.9,8.56,3.59,244.66000000000003
572,126.3,61.81,35.5,11.18,4.62,239.41000000000003
194,131.2,54.46,29.4,9.66,4.13,228.85
130,99.1,57.96,35.55,12.34,4.83,209.78000000000003
459,116.1,43.47,26.35,8.3,2.89,197.11
322,81.0,57.05,38.5,12.96,5.33,194.84000000000003
22,86.6,48.02,30.8,9.82,4.1,179.34
696,50.1,45.85,35.8,12.9,6.09,150.74
728,107.6,27.23,11.45,3.06,1.09,150.42999999999995
503,76.9,38.29,20.4,7.06,3.31,145.96
379,69.5,34.58,25.5,8.78,3.8,142.16
317,78.6,28.42,17.7,5.46,2.68,132.86
437,74.1,30.03,15.75,5.8,2.58,128.26
608,66.3,30.45,20.3,7.68,2.89,127.62
331,53.4,33.25,22.95,8.46,3.92,121.98
450,63.7,31.71,17.35,6.64,2.5,121.9
181,58.8,29.96,18.55,6.88,2.99,117.17999999999998
731,63.0,25.62,17.95,6.74,2.94,116.25
660,51.0,31.36,19.9,7.66,3.35,113.26999999999998
434,57.7,30.31,15.8,6.22,2.71,112.74
500,57.9,26.46,17.55,6.62,3.03,111.56
174,47.5,30.94,19.95,7.82,3.36,109.57
323,37.7,28.7,26.15,10.78,5.45,108.78000000000002
223,51.8,28.84,18.85,6.38,2.86,108.73
242,47.4,30.66,19.15,7.28,3.53,108.02
712,58.7,24.92,13.95,5.44,2.37,105.38
462,65.0,22.4,11.5,3.72,1.85,104.47
639,50.6,29.75,14.8,5.58,2.23,102.96
436,31.5,35.14,23.9,8.34,3.95,102.83
35,41.0,35.77,17.6,6.08,2.36,102.81
719,55.6,24.78,13.65,5.5,2.54,102.07
440,47.7,25.2,18.45,6.18,2.74,100.27
314,41.6,28.0,18.45,7.9,3.59,99.54
100,44.4,30.73,16.3,5.72,2.37,99.52
284,37.3,34.09,18.8,6.14,2.92,99.25
365,53.6,22.68,15.6,4.94,2.23,99.05
554,39.7,28.14,20.1,7.68,3.05,98.67
665,49.2,24.5,15.7,6.22,2.9,98.52
319,51.1,23.52,15.75,4.98,2.5,97.85
563,44.0,26.53,17.4,6.68,3.0,97.61
53,27.0,31.71,23.45,10.56,4.51,97.23
488,51.8,22.61,14.15,5.28,2.21,96.05
239,50.6,24.57,12.75,4.78,2.09,94.79
17,43.3,27.02,15.5,5.2,2.74,93.76
41,44.4,23.73,16.65,5.78,3.06,93.62
345,47.9,22.19,15.05,5.16,2.04,92.34
359,42.6,26.46,14.35,5.12,2.3,90.83
575,40.5,24.71,15.95,6.14,2.88,90.18
673,51.9,20.16,12.3,3.9,1.82,90.08
45,49.4,21.98,12.15,3.98,1.75,89.26
564,18.9,38.92,20.4,7.44,3.59,89.25
24,35.5,23.73,17.9,7.14,3.8,88.07
491,52.6,17.71,12.25,3.64,1.83,88.03
701,42.1,23.1,14.45,5.62,2.29,87.56000000000002
456,42.8,23.59,13.55,5.24,2.31,87.49
583,40.6,21.28,15.95,5.92,2.93,86.68
580,37.7,26.6,14.05,5.72,2.38,86.45
695,40.2,22.26,15.55,5.5,2.49,86.0
551,35.3,27.23,15.05,5.56,2.42,85.56
532,36.5,22.12,16.15,7.02,3.37,85.16000000000003
516,33.6,26.88,15.05,6.4,2.92,84.85000000000002
123,40.4,20.86,15.6,5.02,2.83,84.71
445,37.3,20.65,16.35,6.62,3.04,83.96000000000002
104,34.5,23.52,16.7,5.76,2.66,83.14
644,30.3,23.31,18.2,7.0,3.64,82.45
245,52.0,16.17,9.75,3.02,1.43,82.37
307,22.0,33.67,17.55,6.06,2.82,82.1
408,30.0,22.26,18.8,7.18,3.67,81.91000000000003
21,39.9,22.89,11.7,4.28,2.13,80.89999999999998
302,37.5,23.38,12.5,4.86,2.44,80.67999999999998
438,37.1,21.49,14.25,5.4,2.32,80.56
344,38.2,20.79,13.55,4.98,2.6,80.12
306,33.3,21.7,15.75,6.52,2.8,80.07
628,38.0,20.51,13.2,4.8,2.68,79.19000000000003
641,25.5,28.28,16.85,5.72,2.83,79.17999999999998
409,27.3,23.24,17.7,6.9,3.42,78.56
1,26.6,23.24,18.35,6.62,3.6,78.41
586,30.8,23.1,16.3,5.56,2.6,78.36
285,39.1,18.41,13.9,4.84,2.02,78.27000000000002
513,44.5,17.71,10.9,3.36,1.37,77.84
69,36.1,19.81,14.4,4.82,2.68,77.81
454,34.1,20.79,14.8,5.0,2.71,77.39999999999998
675,45.2,18.62,9.65,2.8,1.08,77.35000000000002
598,29.3,25.41,14.35,5.04,2.68,76.78000000000002
373,40.1,19.46,11.35,3.82,1.97,76.69999999999997
613,35.6,23.59,11.5,4.06,1.82,76.57
446,25.8,24.92,15.6,6.72,3.23,76.27
228,32.6,20.23,14.2,5.72,3.23,75.98
288,30.2,20.02,15.7,6.9,3.08,75.9
625,25.4,25.69,15.45,6.24,2.8,75.58
594,44.8,16.45,9.5,3.12,1.5,75.37
309,35.5,19.32,13.55,4.82,2.14,75.33
589,28.8,23.38,14.0,5.86,3.11,75.15
65,45.7,15.89,8.55,3.1,1.23,74.47
371,35.0,20.58,11.7,5.12,2.04,74.44000000000003
329,31.1,24.85,12.1,4.2,1.63,73.88
