,0,1,2,3,4
719,771.6,335.16,141.0,38.04,14.22
417,719.4,41.86,15.8,2.88,0.66
285,612.0,445.9,253.9,83.88,38.02
680,337.2,35.98,8.6,2.28,0.64
307,141.8,54.04,36.0,10.8,5.24
356,127.2,112.56,107.5,40.76,21.1
41,125.8,71.12,46.8,16.8,7.12
628,113.0,71.26,49.7,18.4,7.9
111,106.6,114.1,72.6,25.48,10.94
35,104.4,71.82,35.6,12.2,4.96
182,97.6,114.1,61.4,23.72,10.86
440,97.0,50.54,33.1,10.04,5.22
163,90.4,38.5,20.2,6.68,3.3
112,88.8,51.1,26.7,10.64,4.9
153,87.2,46.9,32.8,11.92,5.28
682,84.8,59.22,46.9,18.56,8.2
394,84.0,65.52,42.1,15.84,7.66
454,80.0,55.16,39.5,12.24,6.1
23,78.8,52.22,19.8,5.96,2.32
687,78.6,38.78,27.4,7.56,3.98
365,77.6,34.44,22.0,6.88,3.26
479,76.0,49.42,36.0,14.68,6.92
20,75.6,32.34,16.5,5.4,1.96
345,74.8,41.72,26.3,8.32,3.62
151,71.8,28.14,15.9,4.88,2.28
304,69.0,55.44,37.7,13.84,6.76
552,66.8,30.38,19.1,6.24,2.52
580,65.6,46.48,29.6,10.44,4.42
238,65.4,67.2,37.8,16.48,7.38
317,63.4,26.04,14.1,5.8,2.24
675,63.2,21.0,12.6,4.44,1.72
97,62.8,54.32,37.0,15.8,7.42
335,62.8,56.56,37.6,16.24,8.04
104,62.6,42.84,28.3,9.6,4.52
94,62.4,21.28,10.0,3.6,1.42
729,61.2,31.64,19.1,5.84,2.46
146,60.4,38.36,26.1,7.92,2.8
460,56.2,42.98,31.8,12.44,6.2
290,55.4,30.1,13.6,4.68,2.08
327,55.0,17.64,9.8,2.96,1.38
271,55.0,16.66,8.9,2.6,1.08
759,54.8,29.54,18.4,7.12,3.52
643,54.6,35.56,22.6,7.52,3.54
665,52.2,32.34,20.4,6.8,4.08
625,51.8,30.52,21.4,8.28,4.08
446,50.6,38.36,26.9,9.04,4.48
100,49.4,55.86,26.4,9.24,3.6
225,49.4,31.92,22.7,6.88,3.16
157,49.4,14.56,7.9,2.52,1.12
194,48.8,34.72,26.4,7.72,3.46
84,48.0,40.88,33.4,13.24,6.0
113,47.8,62.86,25.5,6.28,2.44
166,47.4,42.14,28.8,10.04,4.42
45,47.0,25.2,13.1,5.04,1.98
190,46.8,49.7,45.9,17.12,8.22
572,46.6,33.46,28.3,9.52,3.46
362,45.6,13.16,4.5,2.04,0.76
240,45.2,43.4,34.4,13.16,6.3
478,44.4,44.52,38.5,17.96,9.38
563,44.2,38.22,27.9,9.4,3.8
299,43.4,27.3,17.6,7.64,2.62
585,42.2,28.56,20.4,6.36,3.6
459,41.8,29.4,19.8,7.16,3.08
107,41.4,41.02,35.8,14.88,7.66
343,40.4,34.44,22.5,10.72,4.52
637,40.2,25.2,17.8,5.08,2.4
73,39.4,20.58,10.0,3.92,1.6
650,39.2,33.46,23.1,9.84,4.56
34,39.0,16.1,8.6,4.52,1.3
670,39.0,40.46,34.1,15.4,7.78
274,38.8,11.2,5.5,1.68,0.9
503,38.8,18.06,13.5,4.24,2.42
547,38.4,19.18,16.5,5.68,2.6
195,38.2,16.24,9.9,2.4,1.12
616,38.2,35.42,25.7,10.88,5.36
433,37.2,37.8,29.6,12.2,6.58
693,36.8,21.84,13.4,6.6,2.9
500,36.8,27.3,17.7,6.4,2.92
89,36.4,28.0,22.6,9.48,4.96
121,36.0,32.2,15.6,6.72,2.62
511,35.6,20.72,13.8,6.04,2.52
746,35.6,29.26,21.5,8.48,3.56
21,35.0,21.14,14.1,4.84,1.76
371,34.6,20.02,12.6,5.04,2.12
487,34.2,45.5,37.7,17.6,8.04
150,32.8,23.94,19.8,6.44,3.1
244,32.8,26.18,18.1,8.48,3.84
31,32.2,27.44,28.5,13.84,6.66
667,32.2,47.74,45.9,22.32,10.66
425,31.8,28.56,23.2,9.44,3.96
758,31.6,30.94,23.3,9.6,5.26
18,31.4,9.8,5.4,1.84,0.78
16,31.2,32.9,28.4,10.88,5.92
634,31.0,22.12,18.3,7.04,4.28
641,30.8,22.82,13.9,5.2,2.32
615,30.6,10.36,5.2,2.04,0.64
43,30.2,28.56,28.7,11.92,5.94
109,30.0,26.88,25.2,11.04,5.8
379,29.8,22.12,16.9,5.4,2.38
306,29.0,24.36,12.9,5.04,2.42
230,28.8,32.34,25.8,9.36,5.1
663,27.8,25.06,20.9,7.68,3.4
468,27.0,34.44,24.5,11.76,5.8
82,26.4,14.56,7.4,3.04,0.86
308,26.4,46.48,23.6,8.68,4.5
623,26.0,15.4,22.4,8.84,3.22
516,25.6,21.14,13.7,5.12,2.74
284,25.4,14.7,10.3,4.4,1.86
181,25.2,17.36,11.9,4.48,2.1
723,25.0,17.08,10.2,3.28,1.92
288,24.8,17.36,14.4,5.44,3.38
385,24.6,26.18,19.7,7.24,3.94
765,24.2,26.46,17.7,6.84,3.58
636,24.0,24.78,19.9,8.16,4.24
551,23.8,23.38,15.9,6.24,2.54
302,23.6,14.0,10.3,4.72,2.34
499,23.2,40.6,33.3,16.2,8.18
484,23.0,16.66,10.3,3.4,1.42
9,22.6,13.16,9.8,2.68,1.36
491,22.2,14.84,7.4,2.32,1.02
409,22.0,19.74,18.2,7.12,4.04
761,22.0,12.46,5.7,2.28,0.8
445,21.8,26.88,23.3,8.76,4.8
349,21.4,15.12,9.6,3.72,1.46
326,21.0,22.12,18.6,7.44,3.76
657,21.0,22.96,18.8,7.0,3.36
522,20.8,10.08,4.8,1.24,0.62
305,20.6,17.22,10.9,3.2,1.84
96,20.4,11.9,6.6,2.76,1.28
360,20.4,21.56,16.5,7.36,4.5
