,0,1,2,3,4
680,5567.0,724.0,396.0,244.0,138.0
552,2144.0,1023.0,743.0,648.0,554.0
151,2022.0,847.0,652.0,541.0,438.0
759,1791.0,1027.0,807.0,692.0,708.0
468,1476.0,1356.0,1238.0,1141.0,1061.0
121,1325.0,1381.0,1057.0,901.0,793.0
663,1261.0,1052.0,923.0,829.0,809.0
34,1211.0,670.0,517.0,425.0,439.0
693,1197.0,959.0,812.0,735.0,616.0
163,1193.0,651.0,485.0,350.0,337.0
166,1177.0,1244.0,990.0,897.0,748.0
299,1159.0,997.0,758.0,660.0,552.0
35,1114.0,920.0,664.0,543.0,423.0
225,1067.0,1391.0,1075.0,909.0,774.0
84,1066.0,1217.0,1221.0,1169.0,1088.0
230,1043.0,1384.0,1355.0,1340.0,1244.0
547,1040.0,743.0,658.0,590.0,498.0
23,1028.0,945.0,513.0,352.0,258.0
628,1015.0,779.0,699.0,642.0,621.0
623,1000.0,612.0,946.0,638.0,501.0
238,999.0,1344.0,1220.0,1089.0,1074.0
687,986.0,611.0,533.0,478.0,436.0
111,922.0,761.0,601.0,537.0,518.0
460,921.0,900.0,843.0,836.0,802.0
307,915.0,621.0,470.0,399.0,392.0
107,890.0,1090.0,1121.0,1061.0,1027.0
440,873.0,603.0,506.0,397.0,385.0
20,841.0,696.0,421.0,297.0,250.0
394,836.0,762.0,725.0,639.0,599.0
416,825.0,1029.0,1131.0,1140.0,1061.0
150,798.0,669.0,615.0,581.0,569.0
113,795.0,1199.0,536.0,370.0,320.0
478,794.0,1130.0,1221.0,1313.0,1314.0
454,789.0,669.0,665.0,546.0,525.0
97,770.0,931.0,1023.0,970.0,935.0
152,746.0,748.0,799.0,728.0,699.0
195,731.0,321.0,220.0,173.0,144.0
500,726.0,451.0,409.0,377.0,318.0
327,703.0,377.0,249.0,229.0,172.0
655,695.0,852.0,796.0,794.0,779.0
377,675.0,402.0,319.0,358.0,278.0
183,665.0,1086.0,1010.0,918.0,827.0
274,638.0,269.0,180.0,149.0,134.0
9,631.0,483.0,415.0,366.0,316.0
349,629.0,454.0,392.0,366.0,309.0
664,622.0,416.0,329.0,241.0,217.0
682,602.0,708.0,672.0,702.0,667.0
240,597.0,611.0,600.0,607.0,548.0
511,579.0,565.0,491.0,454.0,424.0
82,568.0,278.0,247.0,185.0,165.0
104,566.0,515.0,448.0,385.0,360.0
585,561.0,488.0,472.0,442.0,444.0
189,560.0,599.0,586.0,529.0,521.0
675,558.0,272.0,189.0,146.0,137.0
146,539.0,402.0,303.0,255.0,236.0
665,537.0,453.0,389.0,354.0,273.0
89,535.0,699.0,682.0,749.0,720.0
100,519.0,798.0,486.0,376.0,316.0
109,512.0,647.0,619.0,597.0,619.0
345,511.0,356.0,284.0,257.0,232.0
94,507.0,241.0,202.0,139.0,159.0
335,506.0,632.0,650.0,621.0,612.0
616,503.0,635.0,727.0,684.0,589.0
153,490.0,409.0,322.0,334.0,249.0
271,482.0,179.0,127.0,99.0,95.0
258,469.0,364.0,257.0,196.0,197.0
217,464.0,520.0,486.0,453.0,511.0
305,457.0,484.0,409.0,350.0,309.0
190,448.0,598.0,688.0,649.0,607.0
194,431.0,335.0,326.0,293.0,263.0
746,429.0,466.0,445.0,492.0,462.0
