,0,1,2,3,4
719,3858.0,2394.0,1410.0,951.0,711.0
417,3597.0,299.0,158.0,72.0,33.0
285,3060.0,3185.0,2539.0,2097.0,1901.0
680,1686.0,257.0,86.0,57.0,32.0
307,709.0,386.0,360.0,270.0,262.0
356,636.0,804.0,1075.0,1019.0,1055.0
41,629.0,508.0,468.0,420.0,356.0
628,565.0,509.0,497.0,460.0,395.0
111,533.0,815.0,726.0,637.0,547.0
35,522.0,513.0,356.0,305.0,248.0
182,488.0,815.0,614.0,593.0,543.0
440,485.0,361.0,331.0,251.0,261.0
163,452.0,275.0,202.0,167.0,165.0
112,444.0,365.0,267.0,266.0,245.0
153,436.0,335.0,328.0,298.0,264.0
682,424.0,423.0,469.0,464.0,410.0
394,420.0,468.0,421.0,396.0,383.0
454,400.0,394.0,395.0,306.0,305.0
23,394.0,373.0,198.0,149.0,116.0
687,393.0,277.0,274.0,189.0,199.0
365,388.0,246.0,220.0,172.0,163.0
479,380.0,353.0,360.0,367.0,346.0
20,378.0,231.0,165.0,135.0,98.0
345,374.0,298.0,263.0,208.0,181.0
151,359.0,201.0,159.0,122.0,114.0
304,345.0,396.0,377.0,346.0,338.0
552,334.0,217.0,191.0,156.0,126.0
580,328.0,332.0,296.0,261.0,221.0
238,327.0,480.0,378.0,412.0,369.0
317,317.0,186.0,141.0,145.0,112.0
675,316.0,150.0,126.0,111.0,86.0
97,314.0,388.0,370.0,395.0,371.0
335,314.0,404.0,376.0,406.0,402.0
104,313.0,306.0,283.0,240.0,226.0
94,312.0,152.0,100.0,90.0,71.0
729,306.0,226.0,191.0,146.0,123.0
146,302.0,274.0,261.0,198.0,140.0
460,281.0,307.0,318.0,311.0,310.0
290,277.0,215.0,136.0,117.0,104.0
327,275.0,126.0,98.0,74.0,69.0
271,275.0,119.0,89.0,65.0,54.0
759,274.0,211.0,184.0,178.0,176.0
643,273.0,254.0,226.0,188.0,177.0
665,261.0,231.0,204.0,170.0,204.0
625,259.0,218.0,214.0,207.0,204.0
446,253.0,274.0,269.0,226.0,224.0
100,247.0,399.0,264.0,231.0,180.0
225,247.0,228.0,227.0,172.0,158.0
157,247.0,104.0,79.0,63.0,56.0
194,244.0,248.0,264.0,193.0,173.0
84,240.0,292.0,334.0,331.0,300.0
113,239.0,449.0,255.0,157.0,122.0
166,237.0,301.0,288.0,251.0,221.0
45,235.0,180.0,131.0,126.0,99.0
190,234.0,355.0,459.0,428.0,411.0
572,233.0,239.0,283.0,238.0,173.0
362,228.0,94.0,45.0,51.0,38.0
240,226.0,310.0,344.0,329.0,315.0
478,222.0,318.0,385.0,449.0,469.0
563,221.0,273.0,279.0,235.0,190.0
299,217.0,195.0,176.0,191.0,131.0
585,211.0,204.0,204.0,159.0,180.0
459,209.0,210.0,198.0,179.0,154.0
107,207.0,293.0,358.0,372.0,383.0
343,202.0,246.0,225.0,268.0,226.0
637,201.0,180.0,178.0,127.0,120.0
73,197.0,147.0,100.0,98.0,80.0
650,196.0,239.0,231.0,246.0,228.0
34,195.0,115.0,86.0,113.0,65.0
670,195.0,289.0,341.0,385.0,389.0
274,194.0,80.0,55.0,42.0,45.0
503,194.0,129.0,135.0,106.0,121.0
547,192.0,137.0,165.0,142.0,130.0
195,191.0,116.0,99.0,60.0,56.0
616,191.0,253.0,257.0,272.0,268.0
433,186.0,270.0,296.0,305.0,329.0
693,184.0,156.0,134.0,165.0,145.0
500,184.0,195.0,177.0,160.0,146.0
89,182.0,200.0,226.0,237.0,248.0
121,180.0,230.0,156.0,168.0,131.0
511,178.0,148.0,138.0,151.0,126.0
746,178.0,209.0,215.0,212.0,178.0
21,175.0,151.0,141.0,121.0,88.0
371,173.0,143.0,126.0,126.0,106.0
487,171.0,325.0,377.0,440.0,402.0
150,164.0,171.0,198.0,161.0,155.0
244,164.0,187.0,181.0,212.0,192.0
31,161.0,196.0,285.0,346.0,333.0
667,161.0,341.0,459.0,558.0,533.0
425,159.0,204.0,232.0,236.0,198.0
758,158.0,221.0,233.0,240.0,263.0
18,157.0,70.0,54.0,46.0,39.0
16,156.0,235.0,284.0,272.0,296.0
634,155.0,158.0,183.0,176.0,214.0
641,154.0,163.0,139.0,130.0,116.0
615,153.0,74.0,52.0,51.0,32.0
43,151.0,204.0,287.0,298.0,297.0
109,150.0,192.0,252.0,276.0,290.0
379,149.0,158.0,169.0,135.0,119.0
306,145.0,174.0,129.0,126.0,121.0
230,144.0,231.0,258.0,234.0,255.0
663,139.0,179.0,209.0,192.0,170.0
468,135.0,246.0,245.0,294.0,290.0
82,132.0,104.0,74.0,76.0,43.0
308,132.0,332.0,236.0,217.0,225.0
623,130.0,110.0,224.0,221.0,161.0
516,128.0,151.0,137.0,128.0,137.0
284,127.0,105.0,103.0,110.0,93.0
181,126.0,124.0,119.0,112.0,105.0
723,125.0,122.0,102.0,82.0,96.0
288,124.0,124.0,144.0,136.0,169.0
385,123.0,187.0,197.0,181.0,197.0
765,121.0,189.0,177.0,171.0,179.0
636,120.0,177.0,199.0,204.0,212.0
