,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
794,197845.0,35518.0,17287.0,11841.0,9062.0
608,22864.0,27780.0,9854.0,8224.0,7144.0
141,17453.0,16014.0,15769.0,13278.0,11519.0
709,17213.0,15369.0,13739.0,11996.0,11062.0
851,15600.0,13671.0,9559.0,7412.0,6746.0
95,13742.0,11549.0,9637.0,8144.0,7542.0
167,12361.0,12784.0,12036.0,11641.0,10909.0
668,10604.0,25696.0,28337.0,30356.0,32376.0
513,9993.0,10880.0,8850.0,7166.0,6326.0
620,8234.0,11199.0,7846.0,6233.0,5343.0
87,7913.0,6911.0,6668.0,5974.0,5708.0
150,7692.0,9838.0,6527.0,4511.0,3859.0
821,7618.0,6837.0,5798.0,5085.0,4594.0
928,7598.0,15528.0,19229.0,19241.0,18528.0
109,7343.0,3972.0,2844.0,2265.0,2079.0
563,7009.0,5323.0,4280.0,3853.0,3616.0
111,6974.0,8460.0,4922.0,4890.0,4886.0
624,6852.0,4354.0,3363.0,2689.0,2445.0
726,5562.0,3936.0,2897.0,2402.0,2143.0
765,5243.0,3488.0,1926.0,1563.0,1307.0
62,5173.0,37210.0,42324.0,35241.0,28337.0
25,4909.0,7179.0,6267.0,6066.0,5481.0
237,4767.0,6738.0,7858.0,8327.0,8478.0
152,4557.0,5013.0,4582.0,4179.0,3935.0
973,4465.0,3511.0,2919.0,2488.0,2414.0
1044,4128.0,4353.0,3929.0,3528.0,3247.0
505,3535.0,2479.0,2242.0,2191.0,2083.0
586,3370.0,3347.0,2530.0,2228.0,2149.0
585,3222.0,2961.0,2572.0,2503.0,2278.0
697,2694.0,5458.0,8204.0,10851.0,12784.0
623,2690.0,10200.0,10587.0,10815.0,11236.0
291,2562.0,3964.0,3591.0,3097.0,2788.0
208,2407.0,3165.0,3261.0,3252.0,3347.0
576,2344.0,2377.0,1665.0,1369.0,1175.0
193,2343.0,5241.0,5790.0,6841.0,6463.0
363,2332.0,3089.0,2065.0,1522.0,1328.0
356,2208.0,3874.0,4405.0,4318.0,4362.0
854,2061.0,5900.0,9767.0,12760.0,14639.0
253,2048.0,2550.0,2459.0,2350.0,2291.0
351,1951.0,3337.0,1894.0,1564.0,1530.0
759,1936.0,3799.0,4356.0,4526.0,4553.0
90,1920.0,6569.0,11091.0,14627.0,17369.0
1,1850.0,2432.0,1924.0,1690.0,1623.0
810,1746.0,1989.0,1280.0,1054.0,888.0
60,1632.0,2712.0,2535.0,2577.0,2782.0
775,1452.0,5388.0,5829.0,5199.0,4376.0
838,1271.0,3584.0,3033.0,2433.0,2234.0
456,1086.0,3170.0,3531.0,2620.0,2040.0
614,1078.0,2264.0,1309.0,816.0,670.0
956,1059.0,1678.0,1760.0,1750.0,1820.0
