,0,1,2,3,4
794,14625.0,3384.0,1851.0,1285.0,1024.0
838,1904.0,1526.0,959.0,697.0,580.0
608,1839.0,1412.0,655.0,551.0,463.0
111,1761.0,1181.0,718.0,640.0,580.0
141,1514.0,1337.0,1271.0,1106.0,911.0
668,1374.0,1843.0,2050.0,2178.0,2260.0
513,1169.0,1086.0,879.0,679.0,597.0
62,933.0,2813.0,3587.0,3217.0,2726.0
618,848.0,840.0,778.0,849.0,714.0
851,751.0,593.0,504.0,403.0,384.0
150,728.0,662.0,463.0,365.0,296.0
623,682.0,1101.0,1221.0,1252.0,1227.0
709,660.0,632.0,619.0,522.0,496.0
193,636.0,952.0,884.0,917.0,780.0
167,628.0,562.0,571.0,575.0,574.0
291,611.0,606.0,496.0,391.0,362.0
95,586.0,516.0,426.0,366.0,358.0
1080,583.0,610.0,490.0,414.0,391.0
620,582.0,518.0,496.0,460.0,414.0
363,547.0,423.0,262.0,204.0,187.0
60,498.0,641.0,531.0,494.0,453.0
351,468.0,380.0,287.0,200.0,186.0
1044,422.0,360.0,317.0,295.0,266.0
563,421.0,290.0,228.0,250.0,171.0
624,398.0,231.0,169.0,144.0,131.0
505,389.0,241.0,203.0,190.0,170.0
208,389.0,373.0,390.0,370.0,362.0
956,379.0,457.0,406.0,361.0,380.0
109,377.0,165.0,144.0,116.0,107.0
821,367.0,351.0,281.0,257.0,267.0
87,364.0,311.0,300.0,258.0,266.0
586,330.0,250.0,201.0,166.0,172.0
388,320.0,362.0,355.0,327.0,321.0
775,308.0,772.0,608.0,540.0,467.0
622,289.0,433.0,481.0,456.0,465.0
1022,266.0,315.0,308.0,263.0,342.0
426,264.0,387.0,364.0,369.0,340.0
735,263.0,218.0,150.0,122.0,109.0
152,256.0,305.0,267.0,237.0,227.0
230,252.0,435.0,430.0,486.0,554.0
237,248.0,321.0,371.0,395.0,405.0
277,245.0,272.0,301.0,287.0,293.0
49,237.0,172.0,131.0,114.0,108.0
520,236.0,577.0,535.0,485.0,476.0
415,234.0,289.0,228.0,236.0,188.0
456,226.0,383.0,268.0,218.0,209.0
25,222.0,253.0,289.0,280.0,251.0
79,218.0,464.0,579.0,653.0,710.0
973,214.0,159.0,166.0,142.0,143.0
1,208.0,234.0,188.0,138.0,147.0
585,207.0,169.0,141.0,149.0,129.0
928,204.0,467.0,603.0,612.0,713.0
64,201.0,1407.0,1552.0,1708.0,1679.0
253,198.0,214.0,202.0,180.0,170.0
356,189.0,328.0,314.0,331.0,369.0
759,189.0,271.0,348.0,330.0,355.0
100,186.0,213.0,223.0,208.0,151.0
703,178.0,256.0,281.0,300.0,339.0
1051,174.0,160.0,179.0,187.0,200.0
48,173.0,380.0,382.0,299.0,327.0
444,159.0,165.0,107.0,96.0,67.0
765,156.0,80.0,63.0,50.0,46.0
