,0,1,2,3,4
146,829.0,421.0,297.0,218.0,172.0
572,688.0,409.0,319.0,316.0,240.0
194,614.0,423.0,316.0,229.0,191.0
459,600.0,364.0,251.0,196.0,149.0
728,528.0,186.0,139.0,77.0,53.0
130,527.0,406.0,331.0,287.0,232.0
22,452.0,369.0,290.0,230.0,193.0
317,408.0,204.0,148.0,135.0,130.0
437,387.0,214.0,163.0,134.0,121.0
503,375.0,252.0,223.0,175.0,166.0
322,362.0,384.0,375.0,325.0,288.0
379,359.0,235.0,222.0,203.0,163.0
608,351.0,206.0,192.0,151.0,140.0
462,333.0,149.0,99.0,90.0,76.0
500,320.0,200.0,180.0,156.0,121.0
450,309.0,247.0,186.0,163.0,121.0
731,299.0,219.0,171.0,128.0,152.0
181,298.0,228.0,198.0,164.0,151.0
488,295.0,173.0,176.0,129.0,119.0
673,291.0,177.0,145.0,135.0,106.0
319,287.0,182.0,170.0,114.0,133.0
712,284.0,193.0,143.0,145.0,123.0
365,274.0,182.0,162.0,124.0,107.0
434,274.0,210.0,205.0,172.0,127.0
331,273.0,222.0,195.0,192.0,197.0
223,269.0,180.0,162.0,135.0,140.0
660,260.0,208.0,212.0,202.0,196.0
675,257.0,152.0,90.0,70.0,60.0
513,251.0,118.0,107.0,68.0,76.0
245,251.0,126.0,108.0,83.0,58.0
563,250.0,211.0,152.0,137.0,144.0
239,250.0,185.0,141.0,128.0,94.0
639,244.0,237.0,162.0,118.0,118.0
719,242.0,134.0,120.0,104.0,92.0
174,240.0,216.0,205.0,167.0,166.0
45,239.0,149.0,104.0,119.0,99.0
359,236.0,172.0,133.0,119.0,98.0
594,235.0,123.0,114.0,97.0,62.0
456,233.0,158.0,138.0,129.0,123.0
242,232.0,207.0,197.0,188.0,160.0
665,232.0,191.0,172.0,145.0,128.0
35,232.0,247.0,181.0,136.0,122.0
345,231.0,169.0,136.0,119.0,127.0
440,230.0,172.0,195.0,150.0,151.0
491,228.0,148.0,101.0,99.0,101.0
554,225.0,200.0,185.0,184.0,176.0
729,223.0,120.0,83.0,89.0,87.0
314,222.0,212.0,205.0,175.0,190.0
575,222.0,212.0,180.0,163.0,168.0
715,219.0,138.0,93.0,81.0,73.0
17,217.0,217.0,169.0,131.0,103.0
41,213.0,160.0,178.0,147.0,126.0
100,212.0,206.0,164.0,141.0,122.0
82,210.0,89.0,63.0,59.0,45.0
96,209.0,111.0,117.0,84.0,85.0
696,209.0,294.0,334.0,325.0,338.0
285,208.0,124.0,98.0,88.0,84.0
701,205.0,161.0,136.0,133.0,103.0
580,204.0,164.0,159.0,165.0,137.0
75,202.0,122.0,81.0,107.0,59.0
21,201.0,158.0,124.0,99.0,101.0
676,198.0,130.0,134.0,105.0,95.0
