,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
146,8624.0,4132.0,3021.0,2158.0,1780.0
572,6760.0,4388.0,3287.0,2737.0,2280.0
194,6664.0,3815.0,3132.0,2382.0,2089.0
459,5891.0,3070.0,2619.0,1983.0,1610.0
728,5375.0,1935.0,1204.0,859.0,632.0
130,5045.0,4093.0,3487.0,3094.0,2591.0
22,4456.0,3461.0,2905.0,2406.0,2070.0
437,3943.0,2101.0,1537.0,1267.0,1070.0
322,3835.0,3995.0,3783.0,3412.0,2851.0
317,3829.0,2118.0,1695.0,1458.0,1208.0
608,3702.0,2398.0,2001.0,1768.0,1560.0
503,3540.0,2446.0,2232.0,1868.0,1668.0
379,3440.0,2450.0,2344.0,2072.0,1758.0
462,3265.0,1641.0,1231.0,1017.0,836.0
450,3228.0,2287.0,1753.0,1520.0,1353.0
673,3176.0,1913.0,1570.0,1348.0,1115.0
712,3128.0,1760.0,1494.0,1312.0,1166.0
731,3055.0,1882.0,1688.0,1563.0,1286.0
500,3010.0,1981.0,1819.0,1637.0,1419.0
181,2966.0,2076.0,2017.0,1713.0,1496.0
488,2939.0,1642.0,1465.0,1304.0,1290.0
319,2911.0,1822.0,1518.0,1301.0,1194.0
434,2884.0,2107.0,1839.0,1668.0,1489.0
331,2826.0,2279.0,2119.0,2054.0,1857.0
223,2778.0,1986.0,1786.0,1588.0,1512.0
365,2740.0,1759.0,1546.0,1296.0,1218.0
639,2634.0,2082.0,1620.0,1310.0,1060.0
245,2623.0,1243.0,923.0,759.0,670.0
239,2601.0,1822.0,1447.0,1186.0,1002.0
45,2579.0,1647.0,1259.0,1066.0,955.0
242,2503.0,2153.0,2047.0,1843.0,1663.0
440,2472.0,1968.0,1756.0,1577.0,1408.0
345,2469.0,1946.0,1587.0,1338.0,1178.0
491,2431.0,1339.0,1135.0,902.0,845.0
359,2412.0,1869.0,1599.0,1440.0,1273.0
563,2355.0,2035.0,1726.0,1460.0,1350.0
701,2353.0,1722.0,1497.0,1315.0,1197.0
17,2329.0,1921.0,1473.0,1298.0,1135.0
174,2324.0,2151.0,1981.0,1853.0,1806.0
594,2314.0,1088.0,890.0,725.0,711.0
575,2311.0,1955.0,1707.0,1568.0,1453.0
660,2272.0,2032.0,2029.0,2015.0,1967.0
695,2272.0,1727.0,1522.0,1288.0,1289.0
100,2270.0,2170.0,1670.0,1294.0,1215.0
314,2200.0,1958.0,2000.0,1956.0,1759.0
456,2198.0,1736.0,1465.0,1268.0,1145.0
65,2184.0,1168.0,858.0,738.0,562.0
676,2179.0,1268.0,1142.0,964.0,957.0
41,2174.0,1767.0,1659.0,1474.0,1386.0
82,2146.0,888.0,700.0,577.0,490.0
554,2139.0,1981.0,1866.0,1885.0,1696.0
513,2100.0,1185.0,925.0,766.0,639.0
719,2092.0,1159.0,899.0,830.0,857.0
665,2086.0,1766.0,1629.0,1398.0,1289.0
75,2084.0,1300.0,1072.0,928.0,768.0
21,2040.0,1536.0,1254.0,1096.0,947.0
35,2035.0,2472.0,1807.0,1435.0,1297.0
715,2023.0,1167.0,932.0,806.0,729.0
309,2020.0,1486.0,1311.0,1191.0,1106.0
675,2004.0,1145.0,812.0,627.0,535.0
96,1996.0,1316.0,1136.0,894.0,835.0
373,1983.0,1433.0,1171.0,1115.0,963.0
285,1982.0,1447.0,1135.0,833.0,706.0
583,1976.0,1614.0,1561.0,1681.0,1525.0
123,1976.0,1578.0,1545.0,1473.0,1328.0
284,1968.0,2554.0,1902.0,1683.0,1503.0
750,1960.0,925.0,702.0,543.0,429.0
302,1945.0,1574.0,1494.0,1426.0,1255.0
516,1942.0,2012.0,1652.0,1532.0,1319.0
672,1938.0,929.0,659.0,497.0,490.0
729,1927.0,1097.0,913.0,794.0,736.0
552,1880.0,973.0,805.0,698.0,625.0
445,1868.0,1352.0,1673.0,1598.0,1548.0
644,1851.0,1829.0,1809.0,1699.0,1562.0
700,1851.0,894.0,598.0,532.0,446.0
438,1838.0,1492.0,1393.0,1319.0,1191.0
344,1837.0,1543.0,1328.0,1270.0,1148.0
765,1834.0,1456.0,1443.0,1422.0,1342.0
538,1774.0,1023.0,898.0,709.0,606.0
326,1771.0,1471.0,1425.0,1387.0,1379.0
551,1769.0,1764.0,1527.0,1363.0,1230.0
454,1769.0,1511.0,1460.0,1344.0,1236.0
532,1718.0,1628.0,1711.0,1661.0,1562.0
329,1716.0,1632.0,1378.0,1082.0,1015.0
580,1715.0,1653.0,1430.0,1378.0,1245.0
648,1709.0,1197.0,1167.0,992.0,916.0
613,1709.0,1677.0,1328.0,1132.0,1029.0
637,1705.0,1319.0,1118.0,1003.0,903.0
371,1702.0,1391.0,1194.0,1060.0,1002.0
15,1673.0,1443.0,1384.0,1257.0,1207.0
69,1673.0,1518.0,1419.0,1282.0,1296.0
643,1672.0,1311.0,1256.0,1116.0,1070.0
759,1668.0,1071.0,958.0,833.0,793.0
94,1657.0,720.0,615.0,519.0,426.0
104,1651.0,1532.0,1513.0,1442.0,1288.0
