,0,1,2,3,4
794,5142.8,558.6,191.6,51.08,18.98
608,469.2,500.22,112.6,40.76,17.7
668,308.4,476.0,361.0,139.0,72.76
141,252.2,180.04,131.5,46.44,20.28
851,249.4,175.56,86.1,27.12,12.24
620,223.2,251.3,122.8,38.48,16.02
709,190.0,130.9,96.0,33.44,16.82
167,184.2,137.76,94.1,33.88,17.72
150,182.8,213.08,103.4,27.04,11.82
513,176.6,148.54,88.0,28.68,12.02
95,147.8,99.54,67.0,22.68,11.06
87,133.2,90.16,57.9,21.36,10.38
1044,98.8,75.18,54.2,16.52,8.1
821,97.4,65.52,43.5,15.0,7.8
363,91.0,77.14,33.8,10.72,4.62
563,87.8,51.24,32.8,11.6,5.46
765,85.8,44.1,19.7,5.72,2.28
505,84.8,43.68,23.7,9.8,4.42
109,83.0,41.02,20.2,6.0,2.54
624,78.4,39.62,22.2,6.76,3.68
111,77.8,85.12,36.1,15.64,7.38
623,77.6,224.56,174.9,70.0,34.42
25,73.0,74.34,48.2,18.32,9.24
62,72.2,541.94,467.2,159.52,66.36
928,70.4,109.34,110.6,46.2,25.02
237,69.8,63.14,53.0,23.12,12.16
726,64.0,34.58,19.4,7.36,3.52
291,56.4,69.16,45.9,14.84,7.14
973,55.6,35.28,18.2,7.6,3.64
152,55.2,43.26,26.2,11.76,5.18
1,50.2,45.5,29.1,9.48,3.92
585,44.8,35.98,20.3,7.16,3.3
838,39.2,66.78,42.5,13.32,5.24
456,32.8,58.94,55.8,18.12,6.46
351,32.4,46.06,19.4,7.16,2.88
208,30.4,33.6,27.1,11.0,5.08
426,27.2,69.16,45.8,17.6,7.92
576,27.2,20.58,11.6,4.0,1.8
586,26.6,20.44,14.4,5.28,2.52
193,25.8,44.8,40.9,21.52,10.3
775,24.6,71.12,57.5,20.64,8.58
759,24.0,27.44,24.5,12.16,5.96
388,21.8,41.16,29.4,12.28,6.58
356,21.0,29.26,26.2,10.96,6.42
60,20.8,22.54,16.5,6.52,4.12
810,20.4,13.86,9.9,2.76,1.38
697,19.0,37.38,45.3,23.6,14.66
253,19.0,17.5,10.1,5.12,3.02
149,18.2,15.12,7.7,2.4,1.26
321,18.0,14.14,10.5,2.8,1.72
1051,17.8,16.52,17.6,6.72,3.48
79,16.8,37.1,41.2,21.8,13.46
377,16.0,160.58,101.5,37.84,18.34
735,15.6,17.36,6.9,2.32,1.2
416,14.6,13.44,6.3,2.52,1.18
614,14.2,23.52,11.6,3.04,1.04
90,13.8,31.5,44.8,24.8,16.94
230,12.8,50.4,36.0,17.2,12.36
829,12.6,16.8,11.6,4.52,2.12
703,12.6,27.02,26.4,11.96,6.58
782,10.6,29.82,9.2,2.8,1.54
932,10.4,6.72,3.2,1.92,0.8
956,10.0,14.28,10.2,4.52,2.02
635,9.8,9.94,5.9,1.92,0.9
92,9.8,10.08,6.9,2.32,1.46
520,9.2,81.06,51.1,24.24,11.9
854,9.0,31.36,37.0,20.6,12.8
415,8.8,15.12,12.3,5.6,2.36
277,8.6,11.34,10.8,5.36,2.84
1075,8.0,38.78,29.5,12.96,6.48
1009,7.6,33.32,43.0,23.08,14.86
444,7.2,15.12,6.5,1.88,1.24
10,7.0,16.66,18.7,10.4,6.72
1004,7.0,11.2,9.6,5.24,3.08
1019,6.6,12.46,11.7,5.56,2.42
176,6.4,4.34,3.7,1.04,0.46
756,6.2,12.6,11.6,7.92,4.7
1002,6.0,10.22,7.2,4.76,3.76
49,5.6,4.48,3.8,1.6,0.64
