,0,1,2,3,4
680,569.2,51.52,18.4,4.96,1.38
552,226.8,71.54,40.8,13.12,6.3
151,182.0,56.56,33.7,10.96,3.64
759,174.4,68.04,45.5,15.4,6.84
663,141.4,85.12,51.9,19.16,8.48
468,136.0,95.62,62.9,21.56,10.72
34,125.0,45.36,26.4,8.0,3.18
121,122.2,88.06,48.3,18.56,6.8
299,120.6,68.32,35.5,11.88,5.52
35,118.8,64.26,33.6,10.12,4.14
693,118.6,63.0,37.3,14.6,6.52
84,115.0,95.2,62.1,22.56,10.12
163,114.0,51.1,23.4,6.92,2.92
230,113.4,103.18,67.7,26.84,12.6
23,110.0,65.52,26.0,7.12,3.0
166,107.4,81.76,54.6,17.76,7.44
307,104.4,41.58,23.1,9.8,3.82
225,103.0,92.82,53.2,17.32,6.92
238,102.8,94.64,64.6,20.8,10.52
547,98.2,56.56,33.8,11.84,5.3
628,97.4,53.9,35.7,13.44,5.82
460,93.0,60.34,44.4,16.76,8.2
394,92.6,54.18,32.7,13.28,5.62
111,89.4,50.82,31.1,12.32,4.84
20,89.4,43.96,18.1,6.6,2.54
687,89.0,43.12,26.8,9.16,3.78
440,88.8,43.96,23.7,8.04,3.64
623,84.8,41.02,49.3,14.08,5.5
107,82.6,73.5,59.6,21.28,10.92
97,81.8,75.18,50.3,20.96,9.82
416,79.8,73.36,55.4,23.36,11.24
478,74.8,69.16,58.4,26.6,13.58
682,74.2,53.48,36.2,14.16,7.28
500,73.0,34.02,23.2,7.12,3.66
113,72.6,84.28,28.0,8.52,3.18
195,71.8,20.16,9.7,3.76,1.24
454,71.2,46.06,31.1,11.56,5.66
150,71.0,46.2,30.6,11.16,5.42
655,68.2,50.26,41.1,15.2,7.78
152,67.4,52.64,39.4,14.12,7.2
82,67.2,20.16,13.2,5.16,1.82
327,63.4,22.4,13.7,3.64,1.62
183,62.2,70.14,50.7,17.88,8.56
274,61.4,16.38,10.3,3.32,1.62
377,60.2,26.6,15.3,6.08,2.78
349,58.8,34.3,19.8,7.0,3.28
585,57.4,35.98,26.5,9.44,5.02
240,57.2,43.12,28.8,11.64,5.62
9,56.6,32.48,20.8,6.76,3.54
271,56.2,13.16,8.1,2.92,1.06
109,56.0,40.04,28.9,12.92,6.2
511,55.2,39.48,25.5,10.4,4.2
100,55.0,53.34,23.0,7.4,3.48
675,54.8,18.48,9.1,2.8,1.52
345,54.4,21.98,14.7,5.12,2.22
89,53.8,51.1,38.0,15.24,7.98
104,53.4,38.78,24.4,8.4,3.6
189,53.0,46.62,26.5,10.92,4.86
664,52.8,24.64,15.6,4.0,1.84
335,52.2,45.22,30.1,13.08,6.48
305,51.6,32.9,20.5,7.72,2.74
665,51.6,27.72,18.2,6.56,3.14
94,51.4,21.0,8.9,2.56,1.06
616,49.0,50.68,38.3,13.88,6.0
146,47.6,31.22,14.2,5.68,1.78
217,45.8,40.32,24.5,10.4,4.66
746,45.6,34.3,25.6,9.16,4.36
190,44.8,42.56,31.7,13.36,6.46
433,42.0,29.68,21.9,9.96,5.46
459,42.0,21.42,12.9,4.48,2.16
385,41.4,31.36,25.7,10.44,4.68
258,41.2,23.66,10.7,3.44,1.46
487,41.2,29.82,25.1,9.4,4.44
153,40.8,23.8,16.7,5.96,2.34
424,40.2,22.4,16.7,5.2,2.88
210,40.0,32.62,26.4,10.48,6.1
445,39.8,33.74,23.1,8.16,3.06
572,39.0,25.48,15.2,4.92,2.56
499,38.8,29.96,21.3,9.8,4.48
760,38.8,38.5,28.7,12.2,5.7
40,38.8,32.2,26.2,10.2,5.62
580,38.2,23.38,15.1,5.48,2.92
362,38.2,12.74,3.7,1.6,0.5
727,38.2,32.48,22.3,8.84,4.26
244,38.2,28.42,18.1,6.12,3.74
743,38.0,27.86,14.8,4.76,2.48
365,36.8,19.04,11.2,3.76,2.0
194,36.8,23.24,16.9,5.52,2.84
112,36.6,20.86,12.8,4.16,2.08
43,36.4,31.22,26.6,11.32,5.3
363,35.8,20.3,13.8,4.2,2.02
643,35.0,18.06,15.4,5.52,2.42
479,33.2,26.18,18.7,6.96,3.62
670,33.0,26.46,21.9,9.48,4.16
306,32.0,22.82,13.0,4.68,2.24
462,31.8,18.06,7.0,3.16,0.9
518,31.4,22.96,18.8,5.92,2.96
29,30.8,19.46,18.0,6.04,2.64
633,30.0,26.18,18.1,7.08,3.4
574,29.4,17.5,12.4,3.92,1.68
421,29.0,25.62,24.6,9.44,4.62
139,29.0,45.22,35.3,14.12,6.84
31,29.0,34.72,26.5,11.8,6.16
159,28.6,25.62,20.6,7.48,4.48
157,28.6,10.08,5.1,1.6,0.44
625,28.6,15.82,12.8,3.6,2.0
290,28.6,21.0,8.0,2.92,1.34
309,28.2,14.84,9.8,3.2,1.52
131,28.2,31.5,27.4,13.44,7.14
634,28.0,21.84,14.7,7.12,3.34
551,27.4,22.4,15.5,5.36,2.62
208,27.4,15.12,10.3,3.0,1.76
263,27.2,22.68,19.0,8.0,4.14
329,27.0,14.98,8.9,3.76,1.54
689,27.0,23.94,18.3,6.88,4.12
503,26.8,14.7,12.2,3.24,1.68
569,25.8,17.92,10.4,6.6,2.54
319,25.6,13.3,10.4,3.36,1.74
648,25.6,15.26,13.8,5.08,1.9
624,25.6,9.38,7.5,2.24,0.88
425,25.6,22.12,17.0,6.2,3.62
282,25.0,17.78,13.3,5.28,2.58
72,25.0,24.78,16.3,6.72,3.32
704,24.8,32.9,30.2,13.12,6.6
367,24.8,31.08,32.5,15.28,7.86
45,24.0,14.0,10.4,3.12,1.2
765,23.6,17.22,11.5,3.8,2.2
83,23.2,18.62,9.7,3.48,1.5
203,23.2,28.42,27.6,14.04,7.36
359,23.0,11.9,7.6,3.8,1.44
729,23.0,11.48,5.7,1.96,0.66
758,23.0,20.16,14.3,6.52,3.52
373,23.0,13.3,10.5,3.2,1.26
3,22.4,11.06,7.7,3.04,1.24
343,22.2,21.42,12.7,5.88,3.16
52,22.0,19.04,12.0,5.36,2.46
123,22.0,13.44,8.9,3.12,1.44
101,21.8,34.72,32.9,14.32,7.58
223,21.8,15.68,8.6,3.96,1.4
388,21.6,3.36,1.3,0.2,0.06
465,21.4,23.66,20.1,9.08,3.94
148,21.4,26.32,24.6,12.6,7.2
288,20.6,16.66,11.4,4.96,2.8
588,20.6,16.24,8.7,3.2,1.78
409,20.4,15.54,13.0,4.96,2.9
667,20.4,38.08,31.7,17.2,9.58
535,20.4,32.06,28.4,12.88,6.34
118,20.2,17.08,17.4,6.48,3.82
731,20.2,14.0,6.9,3.0,1.32
594,19.8,7.98,4.7,1.96,1.06
110,19.8,26.74,29.3,14.2,7.08
560,19.2,27.02,27.2,12.2,7.22
762,19.0,13.44,9.6,4.6,2.26
143,18.8,16.38,17.6,6.6,4.4
695,18.4,10.64,6.4,3.44,1.12
772,18.2,25.34,26.1,11.32,6.32
209,18.2,20.72,15.3,6.32,3.4
714,17.6,6.44,1.8,0.84,0.3
252,17.0,4.48,2.0,0.88,0.18
325,17.0,14.84,12.5,4.4,2.94
173,16.6,16.94,12.4,6.0,2.82
501,16.4,10.92,8.0,3.28,1.2
308,16.2,13.3,10.4,4.36,1.98
371,16.2,11.2,6.8,2.44,1.22
96,16.2,7.14,5.3,2.56,1.0
555,16.0,16.66,11.7,5.4,2.74
486,15.8,11.9,7.6,2.92,1.7
255,15.6,18.62,16.4,6.84,4.08
456,15.6,9.52,8.9,3.08,1.36
466,14.8,22.26,24.7,14.24,8.42
80,14.6,10.36,11.6,3.48,1.9
671,14.2,10.36,7.6,2.84,1.44
379,13.6,6.58,3.8,1.96,0.96
364,13.6,21.98,9.9,2.84,1.06
140,13.4,12.46,11.5,4.96,2.92
406,13.4,6.86,2.5,1.0,0.32
16,13.4,19.18,14.7,6.8,3.16
291,13.4,9.66,8.2,3.8,1.82
761,13.4,8.68,2.8,1.04,0.62
637,13.2,9.38,4.5,1.88,0.96
698,12.8,17.5,12.9,6.8,3.54
747,12.8,13.3,9.7,3.88,2.04
496,12.6,8.4,7.6,3.0,1.48
489,12.4,5.32,2.2,1.0,0.54
48,12.2,14.7,9.5,3.84,1.92
90,12.0,11.06,9.3,4.08,2.14
453,11.6,10.64,12.8,7.92,4.34
712,11.6,4.2,3.1,1.08,0.72
573,11.4,11.06,7.9,3.84,1.62
522,11.2,5.74,2.5,0.72,0.32
2,11.2,12.18,11.9,6.52,4.46
592,11.2,10.08,10.4,4.84,2.5
692,11.2,4.2,2.9,0.76,0.18
589,11.0,12.18,8.1,3.56,1.56
719,11.0,10.92,10.6,4.0,2.48
615,10.8,2.66,2.2,0.64,0.52
284,10.8,4.48,3.1,0.96,0.56
750,10.6,4.34,1.6,0.48,0.22
636,10.6,8.54,6.2,3.2,1.6
360,10.6,12.18,9.2,4.76,2.32
233,10.4,11.9,10.9,5.52,2.54
269,10.4,11.34,8.3,3.56,2.18
723,10.4,7.42,4.6,2.16,0.94
21,10.4,5.18,3.4,0.84,0.52
259,10.2,15.26,10.2,4.0,2.3
543,9.8,9.24,7.5,3.84,2.44
705,9.8,4.62,2.2,0.76,0.52
581,9.8,8.26,6.8,3.32,1.66
414,9.6,16.66,16.5,5.4,3.56
701,9.6,4.2,3.6,1.36,0.58
444,9.6,9.66,7.8,2.76,1.36
766,9.4,7.28,3.6,1.64,0.58
317,9.4,5.32,3.4,1.68,0.64
39,9.4,12.32,10.6,5.36,2.48
732,9.2,13.3,12.1,5.64,3.14
688,9.2,9.1,7.3,3.56,2.26
133,9.0,7.0,7.6,2.56,2.06
398,9.0,4.76,2.5,0.64,0.42
726,9.0,9.66,8.6,3.48,1.96
293,9.0,14.7,13.7,7.0,2.94
402,8.8,1.68,1.6,0.12,0.1
220,8.8,8.68,9.6,4.44,1.98
369,8.8,11.48,9.1,4.4,2.24
348,8.6,20.16,23.7,11.48,6.7
105,8.6,8.12,7.1,2.52,1.54
715,8.6,4.48,3.2,1.12,0.42
736,8.6,10.36,9.6,3.4,1.82
302,8.4,4.62,3.9,1.6,0.7
64,8.2,11.34,12.1,7.04,4.98
436,8.2,11.62,7.0,2.96,1.84
264,8.0,8.54,9.6,4.12,1.82
650,7.8,5.74,5.2,1.96,1.2
753,7.8,23.1,15.9,5.2,2.02
519,7.6,7.98,6.9,2.6,1.48
254,7.4,21.42,20.1,8.36,4.06
74,7.4,12.32,14.8,5.76,3.4
407,7.2,7.0,5.2,3.24,1.42
576,7.0,5.32,7.2,4.0,2.66
237,7.0,12.74,14.1,8.2,4.82
451,7.0,4.9,3.6,0.8,0.48
26,7.0,6.58,3.8,1.16,0.62
181,6.8,5.32,3.7,1.28,0.92
447,6.8,8.82,11.0,7.0,3.44
273,6.4,7.7,5.5,2.32,1.3
604,6.4,9.8,6.2,3.4,1.72
629,6.2,6.86,7.8,2.8,1.76
350,6.2,2.24,0.6,0.24,0.22
67,6.0,8.54,11.2,4.68,3.02
386,5.6,2.8,1.9,0.6,0.36
11,5.6,4.06,3.8,1.8,0.6
638,5.4,4.76,4.3,2.36,1.1
593,5.4,11.2,11.5,6.72,4.52
662,5.2,4.76,3.5,0.8,0.92
423,5.0,7.14,3.7,2.12,1.22
526,5.0,6.44,4.1,1.4,1.04
262,4.8,7.14,8.5,3.52,1.88
337,4.8,4.76,7.4,4.04,2.6
297,4.8,4.48,3.0,1.2,0.88
276,4.8,9.52,9.7,3.72,2.36
382,4.8,7.0,5.4,2.6,1.14
403,4.8,4.62,4.6,1.52,0.88
763,4.6,4.62,4.6,2.44,1.18
76,4.6,2.94,5.2,3.28,1.52
472,4.6,4.34,4.3,1.52,0.86
136,4.4,6.16,6.0,2.32,1.32
193,4.4,8.26,7.2,2.96,1.44
391,4.4,6.3,9.5,5.48,3.68
170,4.2,4.62,4.5,2.44,1.3
221,4.0,2.8,4.5,1.84,0.94
744,4.0,7.84,9.1,5.04,2.1
455,4.0,6.86,5.1,1.88,1.14
657,4.0,4.62,6.4,2.48,1.48
754,4.0,3.22,1.8,0.56,0.54
563,3.8,7.84,4.7,1.76,0.72
164,3.8,6.16,4.9,3.36,1.64
125,3.8,14.0,12.0,5.04,2.96
613,3.8,8.4,4.3,2.04,0.56
380,3.6,0.56,0.4,,
446,3.6,8.96,6.6,2.48,1.46
354,3.4,4.06,5.4,2.44,1.66
61,3.4,8.82,7.3,3.6,2.32
739,3.4,5.18,5.1,2.48,1.98
575,3.4,2.8,1.9,0.8,0.3
710,3.2,1.12,0.1,0.08,0.04
591,3.2,3.5,2.2,1.12,0.64
676,3.2,1.54,1.0,0.56,0.36
669,3.0,1.4,1.4,0.84,0.5
640,3.0,4.76,3.8,2.4,1.28
344,3.0,2.8,2.3,1.36,0.48
538,3.0,1.96,1.8,0.4,0.38
19,3.0,1.96,1.0,0.8,0.5
129,2.8,4.06,4.4,1.6,0.84
272,2.8,1.82,4.5,1.88,1.14
484,2.8,1.26,2.2,0.56,0.3
467,2.8,0.28,2.0,0.92,0.18
296,2.8,25.2,26.4,14.52,7.4
342,2.8,2.52,2.3,0.68,0.38
161,2.6,2.24,2.6,1.64,0.7
169,2.6,3.64,3.1,2.32,1.06
347,2.6,3.22,3.0,1.76,1.18
378,2.6,2.24,3.5,2.36,1.32
507,2.6,1.68,0.7,0.08,0.06
91,2.4,3.5,2.5,1.52,0.94
769,2.4,3.5,4.6,2.64,1.84
525,2.4,0.56,0.4,0.08,0.04
311,2.4,0.98,1.1,0.76,0.24
756,2.4,3.22,2.4,1.36,0.82
30,2.4,1.82,0.9,0.4,0.16
234,2.2,4.76,6.0,2.32,1.24
504,2.2,1.96,1.1,0.8,0.2
