,0,1,2,3,4
680,361.9,26.88,9.15,2.44,0.52
552,227.3,72.24,35.95,11.04,5.16
111,170.5,85.12,56.4,19.14,8.81
468,155.9,97.3,65.75,23.66,11.95
759,148.5,63.91,37.65,12.86,5.49
35,138.2,83.51,39.65,11.94,4.86
151,131.7,41.37,23.95,6.66,3.34
440,130.2,62.58,35.45,11.96,5.37
663,129.5,70.35,47.6,16.7,7.73
394,128.0,82.95,51.5,19.46,8.57
500,120.9,50.19,29.95,10.0,4.81
307,119.6,51.8,31.2,10.16,4.63
112,114.0,64.12,36.05,11.38,5.01
163,112.9,43.19,21.15,6.4,3.12
628,108.4,59.78,37.2,13.4,6.21
23,105.0,57.05,19.25,5.68,2.3
153,102.1,60.62,35.45,12.6,5.88
104,101.1,64.54,37.9,14.42,6.09
150,99.6,54.81,35.55,14.62,5.99
195,98.4,29.47,15.0,4.54,1.83
454,98.2,55.37,35.7,12.32,5.77
487,95.5,77.84,53.2,19.7,9.45
238,85.6,76.93,43.8,17.14,7.88
146,84.1,38.57,20.2,6.44,2.83
665,82.8,48.09,29.3,9.38,4.39
580,80.3,51.24,28.0,11.36,4.93
499,79.8,70.42,50.75,19.74,9.52
240,77.7,56.77,40.05,15.7,7.46
20,77.1,35.0,17.65,5.18,2.12
445,76.1,52.99,32.4,10.72,5.33
217,75.0,51.94,32.8,14.2,6.72
194,69.2,38.57,23.35,7.8,3.38
107,68.3,61.18,49.05,17.18,8.46
31,68.0,63.28,56.35,23.28,12.25
478,67.8,61.88,48.85,20.66,10.68
675,67.4,20.37,10.4,3.44,1.42
572,66.9,36.05,21.75,8.08,3.4
100,65.9,65.31,27.65,8.8,4.26
166,65.4,50.47,32.4,10.76,4.82
345,64.6,28.42,18.6,5.84,2.81
729,64.4,22.82,13.5,4.24,2.03
365,64.4,24.57,15.0,4.76,2.61
682,64.2,49.77,35.85,13.4,6.54
460,64.0,43.47,28.9,12.58,6.01
670,63.2,51.73,42.25,17.08,7.76
190,63.0,56.42,41.4,17.1,7.86
94,63.0,19.6,10.75,3.22,1.62
84,62.7,51.1,34.65,13.58,6.26
113,62.3,81.62,24.15,5.92,2.47
459,62.0,27.93,20.9,6.28,2.7
385,60.1,44.1,36.25,12.28,6.05
433,59.3,43.82,38.4,15.22,7.45
327,58.5,18.48,9.85,3.1,1.04
121,57.2,44.73,26.2,8.74,4.03
687,57.2,28.28,18.0,5.92,2.51
335,56.7,42.84,32.65,11.94,5.79
329,55.6,26.25,17.3,6.24,2.69
305,55.5,32.13,20.85,7.18,3.29
299,54.7,34.02,20.95,6.72,2.98
290,53.9,29.12,13.55,4.78,1.65
34,53.9,22.26,13.6,4.98,1.95
157,53.6,19.88,8.55,2.64,1.14
109,53.2,36.96,28.75,12.26,5.65
503,51.8,30.45,18.75,6.62,2.8
362,50.8,13.23,4.55,1.84,0.81
274,50.2,14.21,8.2,2.2,0.98
479,48.9,39.9,26.4,10.7,5.06
306,48.6,31.36,18.55,6.7,2.87
693,47.6,26.04,16.15,7.02,2.9
97,47.1,39.41,30.85,11.88,6.21
43,46.8,38.92,33.4,14.98,6.9
746,46.7,28.35,19.45,8.88,4.08
40,46.2,40.6,29.85,13.66,6.78
758,46.0,39.41,27.5,10.56,5.55
547,45.4,27.02,15.55,5.42,2.77
271,44.3,11.41,7.1,1.94,0.97
225,44.2,38.08,22.35,8.5,3.71
462,43.4,19.18,10.2,3.42,1.36
230,42.5,39.13,30.4,12.64,5.86
223,42.5,27.44,15.8,5.98,2.48
643,42.4,21.84,16.05,5.98,2.84
704,41.9,48.51,45.15,19.54,10.42
244,41.8,35.0,24.5,9.74,4.66
210,41.0,32.83,30.25,11.96,6.45
518,40.9,30.31,20.75,8.1,3.75
760,40.3,36.47,28.3,11.82,5.63
371,40.0,20.93,15.55,4.96,2.29
551,39.8,29.26,20.1,6.7,3.17
349,39.2,21.14,12.95,4.36,1.9
625,38.0,21.35,14.35,5.12,2.42
727,37.7,27.44,18.45,6.58,3.0
82,37.6,13.86,8.55,3.06,1.2
689,35.2,29.75,21.3,8.4,3.91
152,35.0,28.7,20.25,9.06,4.42
309,34.5,17.85,11.15,4.16,2.08
89,34.4,29.82,20.4,9.38,4.1
343,33.7,23.38,14.65,6.66,3.03
637,33.7,18.41,12.05,3.9,1.79
263,33.4,29.96,22.8,8.88,4.63
616,33.0,34.72,26.05,9.22,4.28
9,32.4,18.27,11.2,3.78,1.86
585,31.8,19.18,13.6,5.36,2.96
623,31.1,17.99,25.25,8.0,3.22
377,30.6,14.98,9.75,3.54,1.46
359,30.5,18.48,12.0,4.22,2.0
319,30.4,15.82,10.2,3.7,1.8
664,30.3,16.24,7.55,2.34,1.29
511,30.2,21.49,13.95,5.16,2.34
173,30.1,27.65,22.4,9.66,4.61
52,29.6,26.32,17.0,8.06,3.97
45,29.2,16.73,9.0,3.4,1.61
425,28.7,21.35,17.25,6.7,3.0
96,28.6,15.26,9.7,3.32,1.46
72,28.0,18.97,15.1,6.7,3.11
501,27.6,18.9,12.25,5.14,2.58
731,27.4,13.65,10.85,3.28,1.64
522,27.3,11.69,5.5,1.66,0.63
80,27.3,23.03,19.35,8.04,3.52
416,27.1,29.47,25.65,9.18,4.98
409,26.3,26.18,18.85,7.78,4.04
288,25.6,21.28,15.4,6.16,3.19
123,25.3,15.19,9.95,3.96,1.97
424,25.0,15.33,9.25,3.72,1.93
101,24.9,33.88,32.55,16.02,9.32
269,24.8,22.54,17.1,7.3,4.23
456,24.7,10.01,9.35,3.4,1.87
325,24.2,21.91,16.9,7.02,3.32
569,24.2,18.76,14.6,6.06,3.05
308,23.9,19.74,12.8,5.16,2.75
489,23.6,10.64,5.8,2.14,0.82
183,23.5,31.5,23.2,8.9,3.92
465,23.3,30.03,24.05,8.1,4.62
363,23.1,12.74,8.15,3.3,1.6
189,22.9,16.87,11.8,4.8,2.01
373,22.7,13.51,7.8,2.6,1.4
29,22.7,17.08,12.9,5.64,2.62
712,22.5,10.01,7.1,2.62,1.29
765,22.5,18.76,15.3,5.1,2.79
252,22.3,5.67,3.2,0.7,0.32
436,21.6,23.17,15.05,6.32,3.02
695,21.5,12.11,8.2,3.8,1.61
667,21.2,38.71,41.1,17.66,10.49
302,20.9,13.44,9.25,4.06,1.65
118,20.8,15.61,14.8,6.24,3.17
379,20.6,11.62,9.5,3.7,1.58
139,20.5,24.08,21.0,8.1,3.92
750,20.4,6.86,4.3,1.32,0.69
629,20.2,18.55,17.2,8.04,4.1
131,19.7,18.13,18.0,7.42,4.26
592,19.7,16.52,16.4,7.56,3.91
