,0,1,2,3,4
618,174.0,48.93,25.0,6.06,2.81
761,133.6,50.05,21.45,6.16,2.09
544,123.7,42.7,19.6,5.66,2.07
457,99.1,34.44,19.15,5.34,1.66
948,98.5,57.19,27.9,7.94,2.86
866,97.2,51.52,27.4,8.1,3.49
68,92.9,31.15,13.4,4.24,1.33
652,77.8,47.11,23.35,7.48,2.84
351,73.1,28.84,16.35,5.62,2.16
556,71.6,19.25,9.6,2.44,0.84
975,71.1,37.1,18.2,5.92,2.21
234,67.2,33.88,17.35,5.82,2.39
366,66.6,19.88,9.0,2.54,1.09
50,66.5,33.11,19.2,6.82,3.1
711,66.0,28.21,16.05,4.92,2.09
1046,65.4,38.01,24.75,8.2,3.42
541,59.4,22.19,11.7,2.98,1.08
838,57.4,31.99,18.6,6.56,2.67
935,56.1,8.68,2.95,1.16,0.39
48,54.0,36.96,23.45,8.82,3.95
1057,53.3,49.7,31.6,9.8,4.25
55,52.9,34.65,19.3,6.72,2.8
344,52.9,22.61,13.1,4.72,2.12
69,52.7,58.31,33.2,10.02,3.97
667,51.3,19.04,12.85,4.46,1.74
986,50.3,14.63,6.1,1.46,0.67
871,50.2,17.29,7.9,2.34,1.01
29,49.5,21.84,14.15,4.54,2.01
343,48.7,32.76,23.4,9.78,4.06
130,48.6,16.59,10.0,3.38,1.57
795,48.0,53.69,36.45,10.12,4.01
956,47.2,36.4,23.3,7.66,3.74
632,47.1,21.91,11.15,4.64,2.25
906,46.3,34.3,24.65,9.36,4.27
251,45.6,23.66,16.05,5.62,2.73
794,45.5,16.59,6.75,2.94,1.35
1074,45.4,14.28,8.25,2.68,1.6
415,45.3,25.97,15.5,5.54,2.8
100,43.2,24.99,15.5,5.6,2.6
1014,43.2,24.15,11.15,3.34,1.22
528,42.5,20.3,11.8,4.2,2.17
833,42.0,13.37,7.25,2.12,0.9
199,41.5,25.41,14.1,4.18,1.29
80,41.4,18.34,12.4,4.4,1.8
32,41.4,13.79,8.85,2.82,1.23
595,41.3,19.95,12.0,3.62,1.92
898,41.2,19.39,12.7,3.38,1.21
812,41.2,21.77,13.35,4.7,2.75
678,41.0,20.86,14.2,5.18,2.17
1024,40.8,18.97,9.95,2.74,1.25
