,0,1,2,3,4
1014,541.0,319.0,233.0,169.0,103.0
544,529.0,229.0,152.0,109.0,95.0
807,516.0,298.0,213.0,141.0,100.0
986,492.0,172.0,90.0,57.0,51.0
68,418.0,187.0,120.0,90.0,75.0
50,413.0,276.0,232.0,184.0,139.0
525,402.0,267.0,231.0,156.0,126.0
866,394.0,295.0,228.0,200.0,136.0
898,388.0,258.0,187.0,110.0,102.0
652,387.0,290.0,230.0,148.0,137.0
855,385.0,170.0,110.0,78.0,35.0
55,385.0,379.0,246.0,219.0,182.0
605,380.0,357.0,232.0,140.0,76.0
892,378.0,163.0,65.0,33.0,12.0
35,366.0,202.0,149.0,125.0,84.0
711,361.0,289.0,230.0,168.0,145.0
227,347.0,311.0,248.0,198.0,146.0
667,341.0,177.0,155.0,117.0,133.0
906,327.0,373.0,339.0,295.0,283.0
626,320.0,177.0,137.0,101.0,93.0
948,320.0,223.0,160.0,97.0,85.0
413,313.0,143.0,97.0,55.0,52.0
366,307.0,169.0,106.0,71.0,67.0
618,300.0,125.0,73.0,51.0,52.0
32,298.0,154.0,133.0,90.0,77.0
532,297.0,282.0,284.0,250.0,240.0
871,295.0,138.0,87.0,89.0,64.0
457,292.0,134.0,73.0,56.0,36.0
96,289.0,349.0,218.0,146.0,84.0
935,281.0,69.0,28.0,21.0,6.0
113,278.0,240.0,227.0,201.0,210.0
645,274.0,198.0,194.0,164.0,158.0
830,268.0,161.0,116.0,99.0,96.0
199,267.0,182.0,143.0,107.0,85.0
776,266.0,119.0,56.0,28.0,27.0
556,266.0,129.0,67.0,54.0,36.0
343,262.0,228.0,258.0,232.0,202.0
344,258.0,178.0,168.0,139.0,134.0
29,257.0,157.0,140.0,123.0,100.0
873,247.0,268.0,267.0,223.0,224.0
541,247.0,130.0,110.0,97.0,57.0
234,244.0,205.0,169.0,136.0,120.0
480,241.0,296.0,228.0,158.0,126.0
761,239.0,152.0,67.0,54.0,47.0
632,237.0,130.0,127.0,101.0,93.0
257,236.0,219.0,176.0,148.0,165.0
39,235.0,133.0,99.0,93.0,87.0
80,231.0,179.0,154.0,139.0,112.0
381,231.0,139.0,112.0,95.0,60.0
811,230.0,173.0,137.0,116.0,95.0
76,228.0,161.0,163.0,181.0,147.0
988,225.0,142.0,109.0,106.0,86.0
1061,224.0,210.0,161.0,121.0,121.0
270,224.0,177.0,119.0,92.0,96.0
265,223.0,235.0,170.0,117.0,95.0
