,0,1,2,3,4
794,52467.0,8744.0,4031.0,2570.0,1883.0
608,5307.0,7709.0,2787.0,2220.0,1929.0
150,3792.0,5775.0,3248.0,1917.0,1687.0
668,3490.0,8365.0,8694.0,8385.0,8484.0
620,2327.0,3752.0,2570.0,2142.0,1813.0
709,1840.0,1893.0,2017.0,1767.0,1627.0
141,1640.0,1810.0,1809.0,1717.0,1590.0
756,1626.0,2588.0,2786.0,2990.0,2929.0
87,1462.0,1423.0,1302.0,1120.0,1035.0
95,1396.0,1463.0,1305.0,1131.0,1193.0
821,1191.0,1050.0,899.0,828.0,776.0
111,1182.0,1850.0,1053.0,1008.0,1003.0
167,1118.0,1333.0,1458.0,1458.0,1410.0
513,1039.0,1150.0,1027.0,1005.0,916.0
851,1014.0,1152.0,957.0,793.0,698.0
505,922.0,651.0,590.0,571.0,533.0
623,826.0,3372.0,3573.0,3574.0,3770.0
563,812.0,674.0,536.0,463.0,470.0
456,801.0,2017.0,2393.0,1608.0,1166.0
624,781.0,550.0,449.0,378.0,339.0
928,766.0,1756.0,2487.0,2742.0,2652.0
237,722.0,1022.0,1216.0,1230.0,1392.0
62,719.0,7734.0,10183.0,8929.0,7276.0
25,680.0,1150.0,1085.0,1003.0,924.0
586,668.0,604.0,534.0,429.0,444.0
765,620.0,557.0,276.0,229.0,202.0
585,568.0,524.0,489.0,428.0,386.0
973,536.0,519.0,411.0,373.0,338.0
1,508.0,775.0,558.0,418.0,448.0
726,482.0,399.0,331.0,261.0,260.0
291,482.0,944.0,885.0,831.0,735.0
152,437.0,498.0,532.0,495.0,522.0
363,427.0,737.0,417.0,325.0,299.0
109,426.0,269.0,219.0,157.0,173.0
193,391.0,791.0,829.0,924.0,919.0
356,345.0,588.0,674.0,682.0,668.0
810,320.0,322.0,238.0,220.0,175.0
759,298.0,518.0,603.0,603.0,597.0
351,278.0,723.0,406.0,334.0,324.0
576,266.0,312.0,256.0,192.0,173.0
149,236.0,208.0,159.0,141.0,107.0
388,198.0,532.0,621.0,646.0,689.0
703,197.0,494.0,645.0,657.0,737.0
426,194.0,968.0,966.0,798.0,866.0
614,191.0,335.0,204.0,138.0,113.0
1044,191.0,273.0,297.0,267.0,245.0
79,188.0,503.0,952.0,1184.0,1480.0
321,180.0,181.0,146.0,137.0,141.0
208,162.0,258.0,263.0,298.0,337.0
697,153.0,336.0,573.0,806.0,1139.0
253,142.0,189.0,233.0,248.0,228.0
49,133.0,124.0,113.0,92.0,88.0
854,119.0,427.0,777.0,1084.0,1441.0
60,119.0,237.0,252.0,274.0,293.0
90,118.0,477.0,884.0,1295.0,1724.0
635,117.0,154.0,127.0,127.0,115.0
444,113.0,428.0,221.0,192.0,222.0
983,110.0,93.0,42.0,38.0,24.0
520,105.0,1081.0,1023.0,1072.0,1239.0
932,95.0,130.0,103.0,89.0,95.0
782,95.0,395.0,190.0,194.0,159.0
1004,94.0,215.0,325.0,358.0,457.0
415,92.0,179.0,243.0,254.0,249.0
130,92.0,361.0,282.0,221.0,227.0
735,90.0,174.0,141.0,97.0,99.0
1075,89.0,617.0,729.0,796.0,820.0
144,77.0,286.0,420.0,532.0,530.0
1074,73.0,245.0,368.0,426.0,413.0
416,70.0,96.0,87.0,67.0,61.0
956,67.0,134.0,149.0,141.0,152.0
10,61.0,152.0,347.0,523.0,656.0
176,56.0,66.0,68.0,56.0,48.0
689,53.0,68.0,57.0,64.0,58.0
139,46.0,123.0,123.0,133.0,169.0
92,46.0,79.0,89.0,68.0,76.0
100,44.0,90.0,87.0,79.0,80.0
1051,42.0,77.0,130.0,146.0,156.0
377,38.0,893.0,1004.0,1011.0,1178.0
718,37.0,47.0,60.0,56.0,49.0
230,37.0,290.0,384.0,555.0,779.0
993,33.0,32.0,32.0,29.0,29.0
372,33.0,21.0,23.0,11.0,19.0
64,31.0,3418.0,3582.0,4849.0,5228.0
48,31.0,406.0,403.0,418.0,520.0
1046,27.0,342.0,344.0,354.0,480.0
421,26.0,37.0,43.0,46.0,33.0
767,25.0,7.0,13.0,12.0,8.0
836,23.0,53.0,133.0,183.0,260.0
283,21.0,57.0,35.0,23.0,20.0
921,20.0,60.0,106.0,97.0,81.0
1002,19.0,51.0,79.0,132.0,158.0
484,19.0,129.0,188.0,180.0,205.0
1019,19.0,52.0,50.0,78.0,59.0
1080,18.0,127.0,141.0,126.0,147.0
999,17.0,23.0,21.0,12.0,11.0
201,16.0,118.0,140.0,156.0,177.0
423,15.0,53.0,58.0,67.0,72.0
41,14.0,201.0,317.0,414.0,630.0
498,13.0,3.0,3.0,3.0,2.0
1009,12.0,73.0,186.0,309.0,474.0
612,12.0,154.0,211.0,258.0,297.0
799,9.0,21.0,19.0,21.0,22.0
1010,8.0,10.0,5.0,5.0,1.0
318,8.0,330.0,719.0,1031.0,1200.0
822,8.0,58.0,63.0,105.0,139.0
815,7.0,477.0,790.0,938.0,1028.0
12,7.0,73.0,86.0,87.0,76.0
555,7.0,56.0,79.0,103.0,139.0
459,7.0,150.0,442.0,700.0,952.0
622,7.0,31.0,56.0,80.0,86.0
346,7.0,35.0,37.0,64.0,77.0
552,6.0,31.0,71.0,112.0,162.0
843,6.0,8.0,9.0,2.0,6.0
1022,6.0,13.0,12.0,23.0,35.0
123,6.0,21.0,55.0,103.0,155.0
798,6.0,5.0,1.0,,3.0
893,6.0,9.0,2.0,17.0,15.0
453,6.0,9.0,22.0,21.0,23.0
994,5.0,40.0,32.0,43.0,43.0
775,5.0,271.0,314.0,408.0,348.0
1032,5.0,28.0,28.0,29.0,26.0
159,5.0,21.0,57.0,178.0,364.0
538,5.0,15.0,12.0,9.0,13.0
897,4.0,4.0,4.0,7.0,16.0
1034,4.0,5.0,13.0,15.0,21.0
912,4.0,62.0,75.0,50.0,50.0
829,4.0,21.0,47.0,32.0,42.0
277,4.0,5.0,11.0,19.0,25.0
723,4.0,7.0,4.0,7.0,6.0
6,4.0,2.0,8.0,23.0,43.0
923,3.0,10.0,25.0,64.0,75.0
650,3.0,5.0,13.0,13.0,23.0
805,3.0,11.0,10.0,14.0,32.0
327,3.0,174.0,436.0,552.0,550.0
678,2.0,4.0,13.0,20.0,38.0
414,2.0,2.0,2.0,,1.0
954,2.0,6.0,8.0,31.0,80.0
354,2.0,2.0,3.0,5.0,5.0
998,2.0,,,,
715,2.0,15.0,43.0,84.0,132.0
94,2.0,6.0,8.0,18.0,25.0
769,2.0,22.0,51.0,58.0,54.0
13,2.0,7.0,5.0,7.0,12.0
21,2.0,6.0,23.0,49.0,60.0
549,2.0,12.0,76.0,43.0,33.0
430,2.0,105.0,232.0,360.0,540.0
436,1.0,7.0,21.0,53.0,99.0
19,1.0,,5.0,2.0,3.0
528,1.0,5.0,9.0,15.0,18.0
306,1.0,3.0,3.0,6.0,8.0
304,1.0,6.0,,,1.0
284,1.0,3.0,4.0,5.0,6.0
449,1.0,4.0,11.0,9.0,22.0
646,1.0,3.0,9.0,10.0,9.0
529,1.0,5.0,4.0,6.0,8.0
595,1.0,1.0,1.0,4.0,4.0
812,1.0,1.0,3.0,6.0,7.0
685,1.0,14.0,35.0,42.0,67.0
693,1.0,90.0,133.0,206.0,369.0
716,1.0,2.0,2.0,4.0,6.0
770,1.0,36.0,36.0,21.0,26.0
852,1.0,,,,1.0
838,1.0,29.0,37.0,48.0,61.0
700,1.0,,1.0,,
24,,2.0,7.0,5.0,7.0
28,,4.0,2.0,8.0,23.0
31,,,2.0,7.0,5.0
33,,,,,2.0
38,,,,2.0,7.0
43,,,,3.0,8.0
51,,1.0,3.0,2.0,6.0
52,,,,,2.0
65,,2.0,7.0,7.0,7.0
72,,,4.0,2.0,8.0
80,,17.0,10.0,21.0,13.0
82,,,1.0,,2.0
86,,,,,2.0
91,,,,,1.0
99,,,,7.0,13.0
103,,,,1.0,
112,,4.0,8.0,14.0,12.0
116,,4.0,1.0,,4.0
129,,,,,4.0
133,,,,,7.0
135,,,,4.0,2.0
175,,3.0,12.0,42.0,90.0
221,,,4.0,8.0,14.0
233,,,,,4.0
235,,719.0,7734.0,10183.0,8929.0
242,,,,,1.0
256,,,7.0,5.0,9.0
266,,,2.0,6.0,15.0
274,,1.0,1.0,1.0,1.0
313,,,,4.0,8.0
341,,,,,1.0
396,,1.0,,1.0,1.0
397,,,2.0,4.0,3.0
420,,1.0,,,
424,,3.0,12.0,5.0,18.0
427,,1.0,,1.0,2.0
437,,1.0,,2.0,1.0
438,,,,3.0,3.0
447,,1.0,4.0,3.0,14.0
467,,,,1.0,4.0
477,,5.0,10.0,12.0,16.0
522,,1.0,1.0,4.0,3.0
541,,,,1.0,2.0
547,,10.0,15.0,38.0,94.0
556,,1.0,,,1.0
567,,,3.0,5.0,6.0
569,,1.0,4.0,11.0,9.0
570,,,,7.0,5.0
575,,,1.0,1.0,3.0
592,,,,,1.0
618,,1.0,5.0,9.0,13.0
636,,1118.0,1333.0,1458.0,1458.0
643,,2.0,3.0,3.0,1.0
656,,18.0,31.0,41.0,64.0
702,,,,,5.0
704,,20.0,54.0,86.0,109.0
707,,37.0,60.0,88.0,128.0
717,,4.0,14.0,35.0,55.0
719,,,,3.0,
722,,2.0,,1.0,
734,,27.0,38.0,39.0,40.0
740,,3.0,18.0,23.0,52.0
746,,,,2.0,2.0
747,,,,,3.0
751,,5.0,15.0,12.0,9.0
752,,,1.0,,2.0
758,,,,,2.0
761,,,,5.0,7.0
777,,1.0,6.0,5.0,14.0
786,,,1.0,,
801,,1.0,3.0,3.0,3.0
813,,2.0,6.0,23.0,49.0
820,,,,,1.0
825,,,,1.0,
