,0,1,2,3,4
146,1085.0,603.0,500.0,369.0,296.0
459,971.0,529.0,472.0,341.0,276.0
194,938.0,621.0,471.0,381.0,341.0
82,904.0,368.0,277.0,219.0,205.0
166,891.0,622.0,564.0,432.0,386.0
317,853.0,448.0,344.0,304.0,277.0
759,847.0,506.0,431.0,393.0,361.0
719,787.0,427.0,352.0,281.0,265.0
572,785.0,545.0,457.0,402.0,329.0
594,774.0,381.0,331.0,283.0,209.0
437,754.0,363.0,283.0,214.0,207.0
285,749.0,517.0,424.0,327.0,263.0
438,697.0,540.0,465.0,436.0,409.0
322,688.0,650.0,569.0,504.0,457.0
377,683.0,439.0,344.0,352.0,291.0
151,657.0,296.0,257.0,180.0,174.0
163,651.0,356.0,257.0,220.0,210.0
171,650.0,470.0,398.0,336.0,354.0
319,649.0,393.0,339.0,294.0,294.0
547,646.0,480.0,453.0,408.0,339.0
673,645.0,383.0,286.0,237.0,206.0
648,601.0,432.0,348.0,367.0,300.0
655,573.0,512.0,492.0,440.0,468.0
84,557.0,554.0,553.0,560.0,573.0
687,533.0,340.0,335.0,309.0,247.0
511,519.0,426.0,401.0,308.0,285.0
23,511.0,455.0,235.0,166.0,133.0
373,510.0,347.0,278.0,261.0,200.0
462,508.0,239.0,159.0,165.0,122.0
307,504.0,653.0,496.0,408.0,368.0
365,503.0,275.0,265.0,208.0,204.0
3,502.0,304.0,259.0,300.0,237.0
765,499.0,364.0,401.0,362.0,313.0
460,499.0,482.0,481.0,406.0,483.0
552,496.0,255.0,245.0,193.0,146.0
731,495.0,319.0,237.0,245.0,193.0
349,493.0,316.0,268.0,233.0,249.0
628,493.0,425.0,429.0,367.0,351.0
183,482.0,810.0,644.0,478.0,416.0
345,480.0,353.0,263.0,242.0,215.0
152,478.0,508.0,490.0,540.0,466.0
331,478.0,358.0,334.0,323.0,301.0
665,473.0,402.0,350.0,289.0,286.0
327,471.0,219.0,172.0,119.0,111.0
20,467.0,332.0,233.0,237.0,153.0
623,466.0,278.0,486.0,349.0,272.0
45,465.0,290.0,246.0,208.0,173.0
456,465.0,315.0,256.0,232.0,203.0
121,464.0,492.0,416.0,376.0,334.0
500,459.0,273.0,258.0,229.0,232.0
363,457.0,324.0,284.0,273.0,242.0
359,457.0,365.0,298.0,261.0,256.0
94,455.0,205.0,161.0,129.0,109.0
22,449.0,323.0,309.0,203.0,244.0
728,444.0,172.0,127.0,90.0,70.0
29,439.0,390.0,431.0,415.0,400.0
314,439.0,409.0,382.0,321.0,311.0
130,435.0,375.0,345.0,304.0,286.0
225,433.0,464.0,359.0,347.0,318.0
394,432.0,407.0,359.0,368.0,328.0
65,425.0,240.0,173.0,139.0,109.0
585,425.0,303.0,306.0,310.0,241.0
657,422.0,350.0,311.0,277.0,276.0
89,416.0,509.0,475.0,509.0,473.0
434,416.0,281.0,253.0,198.0,192.0
440,413.0,306.0,264.0,234.0,242.0
72,411.0,427.0,460.0,511.0,457.0
41,410.0,319.0,324.0,269.0,256.0
727,395.0,484.0,448.0,370.0,383.0
693,394.0,292.0,242.0,216.0,230.0
454,392.0,324.0,324.0,318.0,259.0
503,392.0,263.0,239.0,212.0,213.0
309,388.0,267.0,255.0,216.0,203.0
634,388.0,386.0,399.0,394.0,385.0
695,383.0,267.0,227.0,202.0,207.0
591,381.0,342.0,308.0,309.0,265.0
335,381.0,434.0,387.0,394.0,361.0
675,381.0,225.0,162.0,115.0,107.0
174,372.0,297.0,298.0,233.0,220.0
575,370.0,385.0,289.0,264.0,278.0
424,368.0,357.0,306.0,256.0,223.0
19,366.0,332.0,323.0,258.0,242.0
100,365.0,319.0,279.0,199.0,163.0
700,364.0,145.0,99.0,75.0,51.0
608,364.0,247.0,168.0,190.0,136.0
680,363.0,56.0,26.0,18.0,13.0
701,362.0,270.0,245.0,198.0,196.0
551,358.0,333.0,293.0,232.0,219.0
468,354.0,365.0,392.0,428.0,389.0
35,353.0,413.0,259.0,245.0,209.0
9,352.0,245.0,227.0,207.0,195.0
450,348.0,280.0,235.0,187.0,178.0
425,346.0,340.0,349.0,316.0,317.0
488,340.0,193.0,178.0,147.0,150.0
107,339.0,371.0,457.0,438.0,413.0
379,336.0,235.0,278.0,182.0,179.0
663,335.0,297.0,299.0,280.0,275.0
633,334.0,340.0,334.0,339.0,314.0
342,332.0,264.0,261.0,186.0,186.0
